Fecha,Linea,KM
2019-07-04T00:00:00Z,LMAV,9345.636
2019-01-31T00:00:00Z,N339,10692.08
2020-02-03T00:00:00Z,203I,32126.59
2019-03-20T00:00:00Z,N339,11902.257
2019-05-10T00:00:00Z,N339,11285.677
2019-02-23T00:00:00Z,N339,10030.03
2020-02-23T00:00:00Z,N339,10977.073
2019-02-24T00:00:00Z,N339,10465.688
2019-05-02T00:00:00Z,N339,10350.272
2019-05-16T00:00:00Z,LINA,25936.625
2019-09-27T00:00:00Z,N339,12093.255
2019-06-01T00:00:00Z,L339,11663.711
2020-12-29T00:00:00Z,203I,30018.31
2022-01-16T00:00:00Z,LMAV,3929.804
2019-07-19T00:00:00Z,203M,36812.18
2019-10-26T00:00:00Z,N339,11725.548
2019-06-09T00:00:00Z,N339,11526.11
2019-04-07T00:00:00Z,N339,11556.41
2020-08-26T00:00:00Z,203I,33712.41
2019-06-24T00:00:00Z,203I,34888.17
2019-10-15T00:00:00Z,N339,11026.499
2019-12-30T00:00:00Z,N339,9293.133
2019-05-13T00:00:00Z,N339,11738.134
2019-06-19T00:00:00Z,L339,16234.269
2019-03-16T00:00:00Z,L125,2597.928
2019-05-09T00:00:00Z,N339,12299.258
2019-02-25T00:00:00Z,LEXP,16424.798
2021-12-04T00:00:00Z,LINA,18110.014
2020-01-20T00:00:00Z,N339,8469.912
2023-10-25T00:00:00Z,N339,5936.561
2020-03-19T00:00:00Z,L339,14262.388
2019-12-16T00:00:00Z,N339,9185.155
2019-09-20T00:00:00Z,N339,12358.069
2019-11-24T00:00:00Z,N339,11726.178
2019-02-27T00:00:00Z,LEXP,17111.409
2019-06-26T00:00:00Z,N339,11780.256
2019-03-01T00:00:00Z,LEXP,17033.952
2019-06-28T00:00:00Z,203I,34654.35
2020-03-10T00:00:00Z,N339,9506.113
2019-05-17T00:00:00Z,203I,33850.82
2023-07-10T00:00:00Z,LINA,23741.438
2020-01-20T00:00:00Z,L339,13858.698
2020-03-04T00:00:00Z,N339,9272.303
2020-03-16T00:00:00Z,N339,9414.79
2019-09-10T00:00:00Z,L339,15426.375
2019-07-05T00:00:00Z,LMAV,9279.81
2019-07-13T00:00:00Z,N339,11594.537
2019-07-02T00:00:00Z,203I,33638.15
2019-04-24T00:00:00Z,N339,12086.542
2023-04-22T00:00:00Z,LMAV,3683.038
2020-01-21T00:00:00Z,N339,9260.5
2020-01-02T00:00:00Z,N339,8878.573
2020-01-11T00:00:00Z,N339,9842.294
2019-02-28T00:00:00Z,LEXP,16322.049
2019-09-23T00:00:00Z,N339,12708.675
2020-02-07T00:00:00Z,N339,9932.832
2020-01-07T00:00:00Z,N339,8791.027
2019-05-16T00:00:00Z,N339,10088.019
2019-06-05T00:00:00Z,N339,11332.266
2020-02-03T00:00:00Z,N339,9550.557
2019-01-13T00:00:00Z,N339,9565.899
2019-01-23T00:00:00Z,359V,13694.993
2019-08-14T00:00:00Z,N339,11985.17
2019-10-31T00:00:00Z,N339,10469.256
2019-07-17T00:00:00Z,203I,37634.11
2020-03-06T00:00:00Z,N339,10462.811
2019-03-06T00:00:00Z,LEXP,19553.744
2019-10-17T00:00:00Z,N339,11637.758
2019-04-23T00:00:00Z,203I,35105.91
2020-03-13T00:00:00Z,N339,9847.553
2023-07-06T00:00:00Z,N339,5284.867
2019-05-23T00:00:00Z,N339,12328.219
2023-04-28T00:00:00Z,N339,6202.792
2019-08-30T00:00:00Z,N339,12191.542
2019-05-17T00:00:00Z,N339,12109.103
2020-02-14T00:00:00Z,N339,10305.478
2019-06-01T00:00:00Z,203I,28240.76
2019-01-18T00:00:00Z,N339,11386.157
2020-02-27T00:00:00Z,N339,8390.979
2019-02-22T00:00:00Z,LEXP,17628.469
2019-02-26T00:00:00Z,LEXP,16945.078
2023-03-02T00:00:00Z,N339,5260.274
2019-05-20T00:00:00Z,N339,11945.043
2019-11-07T00:00:00Z,N339,12582.471
2020-01-17T00:00:00Z,N339,11442.388
2019-07-26T00:00:00Z,N339,12225.075
2019-06-15T00:00:00Z,LEXP,14747.746
2023-10-20T00:00:00Z,N339,6838.651
2023-02-23T00:00:00Z,N339,4895.914
2021-08-17T00:00:00Z,N339,4885.438
2020-02-22T00:00:00Z,N339,10555.858
2019-04-17T00:00:00Z,N339,12436.43
2019-08-12T00:00:00Z,N339,12386.242
2019-05-31T00:00:00Z,N339,11643.488
2019-04-25T00:00:00Z,N339,11719.342
2020-01-31T00:00:00Z,N339,10627.927
2020-01-09T00:00:00Z,N339,8940.205
2019-09-13T00:00:00Z,N339,12066.275
2019-09-30T00:00:00Z,N339,12019.927
2019-06-21T00:00:00Z,N339,12725.768
2019-11-09T00:00:00Z,N339,12061.644
2019-07-21T00:00:00Z,N339,11582.115
2019-01-16T00:00:00Z,N339,11314.493
2019-11-29T00:00:00Z,N339,11076.659
2019-07-01T00:00:00Z,203I,32337.32
2019-09-26T00:00:00Z,N339,10943.013
2020-01-10T00:00:00Z,N339,11095.601
2019-02-22T00:00:00Z,N339,10373.113
2019-12-23T00:00:00Z,N339,9358.445
2019-10-01T00:00:00Z,N339,12241.823
2022-05-09T00:00:00Z,LINA,23834.768
2019-07-05T00:00:00Z,359V,14262.915
2019-07-23T00:00:00Z,N339,12040.543
2019-07-28T00:00:00Z,N339,11227.892
2019-09-04T00:00:00Z,N339,10381.327
2021-08-12T00:00:00Z,N339,3566.756
2019-05-24T00:00:00Z,N339,10735.168
