FechaRecaudacion,Cantidad_Pasajeros
2023-07-21,224064
2023-07-22,143381
2023-07-23,85985
2023-07-24,200972
2023-07-25,204945
2023-07-26,216664
2023-07-27,219781
2023-07-28,225700
2023-07-29,141431
2023-07-30,83499
2023-07-31,262818
2023-08-01,274567
2023-08-02,275082
2023-08-03,277175
2023-08-04,284765
2023-08-05,150130
2023-08-06,87153
2023-08-07,270560
2023-08-08,275620
2023-08-09,281426
2023-08-10,279403
2023-08-11,278504
2023-08-12,138898
2023-08-13,6397
2023-08-14,263675
2023-08-15,283780
2023-08-16,293162
2023-08-17,269716
2023-08-18,275728
2023-08-19,146723
2023-08-20,90065
2023-08-21,84237
2023-08-22,283316
2023-08-23,288989
2023-08-24,273364
2023-08-25,277337
2023-08-26,137971
2023-08-27,78286
2023-08-28,275987
2023-08-29,280317
2023-08-30,285163
2023-08-31,285092
2023-09-01,284353
2023-09-02,116492
2023-09-03,50228
2023-09-04,272960
2023-09-05,297040
2023-09-06,288687
2023-09-07,285315
2023-09-08,292734
2023-09-09,147414
2023-09-10,8745
2023-09-11,233239
2023-09-12,286319
2023-09-13,300995
2023-09-14,303613
2023-09-15,301970
2023-09-16,153981
2023-09-17,82396
2023-09-18,292895
2023-09-19,297850
2023-09-20,295456
2023-09-21,267994
2023-09-22,294040
2023-09-23,143665
2023-09-24,85669
2023-09-25,265410
2023-09-26,292455
2023-09-27,305807
2023-09-28,308928
2023-09-29,300294
2023-09-30,135601
2023-10-01,83850
2023-10-02,288481
2023-10-03,276214
2023-10-04,299088
2023-10-05,305377
2023-10-06,300296
2023-10-07,155618
2023-10-08,89939
2023-10-09,298523
2023-10-10,299487
2023-10-11,284205
2023-10-12,319953
2023-10-13,123015
2023-10-14,142922
2023-10-15,81588
2023-10-16,75418
2023-10-17,302086
2023-10-18,299698
2023-10-19,303919
2023-10-20,297951
2023-10-21,138731
2023-10-22,5582
2023-10-23,239320
2023-10-24,286480
2023-10-25,301185
2023-10-26,299281
2023-10-27,285229
2023-10-28,148798
2023-10-29,77246
2023-10-30,259062
2022-10-13,1
