"Date","Price","Open","High","Low","Vol.","Change %"
"07/31/2023","6,394.40","6,339.04","6,430.87","6,339.04","","0.87%"
"07/28/2023","6,339.04","6,318.63","6,374.06","6,316.09","","0.32%"
"07/27/2023","6,318.63","6,379.42","6,389.96","6,316.48","","-0.95%"
"07/26/2023","6,379.42","6,411.43","6,411.43","6,369.65","","-0.50%"
"07/25/2023","6,411.38","6,351.09","6,449.20","6,351.09","","0.95%"
"07/24/2023","6,351.09","6,300.91","6,374.83","6,266.71","","0.80%"
"07/21/2023","6,300.91","6,322.92","6,322.92","6,281.45","","-0.35%"
"07/20/2023","6,322.92","6,320.48","6,324.43","6,251.77","","0.04%"
"07/19/2023","6,320.48","6,286.50","6,320.61","6,243.83","","0.54%"
"07/18/2023","6,286.50","6,197.19","6,286.50","6,178.46","","1.44%"
"07/17/2023","6,197.19","6,130.68","6,197.83","6,105.28","","1.08%"
"07/14/2023","6,130.68","6,061.93","6,130.68","6,054.72","","1.13%"
"07/13/2023","6,061.93","6,078.57","6,112.80","6,058.16","","-0.27%"
"07/12/2023","6,078.57","5,995.47","6,078.57","5,995.47","","1.39%"
"07/11/2023","5,995.47","5,951.95","5,999.48","5,951.95","","0.73%"
"07/10/2023","5,951.95","5,942.20","5,974.07","5,930.46","","0.16%"
"07/07/2023","5,942.20","5,792.17","5,942.20","5,792.17","","2.59%"
"07/06/2023","5,792.17","5,835.13","5,836.09","5,770.61","","-0.74%"
"07/05/2023","5,835.13","5,894.34","5,894.34","5,834.82","","-1.00%"
"07/04/2023","5,894.34","5,853.80","5,903.32","5,852.88","","0.69%"
"07/03/2023","5,853.80","5,786.80","5,854.56","5,786.80","","1.16%"
"06/30/2023","5,786.80","5,728.31","5,787.65","5,728.31","","1.02%"
"06/29/2023","5,728.31","5,656.99","5,729.22","5,656.99","","1.26%"
"06/28/2023","5,656.99","5,658.86","5,723.05","5,620.44","","-0.03%"
"06/27/2023","5,658.86","5,679.56","5,722.24","5,658.86","","-0.36%"
"06/23/2023","5,679.56","5,763.30","5,763.30","5,679.56","","-1.45%"
"06/22/2023","5,763.30","5,783.11","5,783.67","5,738.20","","-0.34%"
"06/20/2023","5,783.11","5,754.24","5,783.33","5,700.67","","0.50%"
"06/19/2023","5,754.24","5,739.90","5,755.93","5,735.00","","0.25%"
"06/16/2023","5,739.90","5,741.71","5,758.83","5,736.88","","-0.03%"
"06/15/2023","5,741.71","5,716.29","5,746.82","5,710.60","","0.44%"
"06/14/2023","5,716.29","5,712.24","5,723.56","5,696.24","","0.07%"
"06/13/2023","5,712.24","5,693.17","5,725.35","5,693.17","","0.34%"
"06/12/2023","5,693.16","5,690.94","5,711.28","5,675.87","","0.04%"
"06/09/2023","5,690.94","5,672.71","5,694.74","5,666.10","","0.32%"
"06/08/2023","5,672.68","5,679.29","5,696.43","5,661.94","","-0.12%"
"06/07/2023","5,679.29","5,714.32","5,735.43","5,679.28","","-0.61%"
"06/06/2023","5,714.32","5,654.45","5,714.70","5,649.88","","1.06%"
"06/05/2023","5,654.45","5,653.81","5,668.44","5,618.56","","0.01%"
"06/02/2023","5,653.81","5,520.74","5,656.09","5,520.74","","2.41%"
"06/01/2023","5,520.74","5,471.54","5,528.46","5,471.05","","0.90%"
"05/31/2023","5,471.54","5,592.85","5,593.96","5,471.54","","-2.17%"
"05/30/2023","5,592.85","5,598.83","5,634.94","5,592.85","","-0.11%"
"05/29/2023","5,598.83","5,609.45","5,643.38","5,598.41","","-0.19%"
"05/26/2023","5,609.45","5,620.21","5,646.70","5,604.26","","-0.19%"
"05/25/2023","5,620.21","5,643.30","5,674.57","5,620.21","","-0.41%"
"05/24/2023","5,643.30","5,685.30","5,685.30","5,587.64","","-0.74%"
"05/23/2023","5,685.30","5,691.50","5,751.74","5,685.30","","-0.11%"
"05/22/2023","5,691.50","5,653.60","5,771.40","5,653.60","","0.67%"
"05/19/2023","5,653.60","5,640.66","5,655.47","5,608.31","","0.23%"
"05/18/2023","5,640.66","5,605.36","5,644.08","5,585.75","","0.63%"
"05/17/2023","5,605.36","5,619.06","5,620.14","5,587.20","","-0.24%"
"05/16/2023","5,619.06","5,598.21","5,630.75","5,592.43","","0.37%"
"05/15/2023","5,598.21","5,596.49","5,633.18","5,596.49","","0.03%"
"05/12/2023","5,596.49","5,600.00","5,610.96","5,583.33","","-0.06%"
"05/11/2023","5,600.00","5,569.61","5,621.38","5,569.61","","0.55%"
"05/10/2023","5,569.61","5,550.89","5,571.76","5,539.52","","0.34%"
"05/09/2023","5,550.89","5,608.49","5,613.72","5,546.82","","-1.03%"
"05/08/2023","5,608.49","5,480.42","5,631.90","5,480.42","","2.34%"
"05/05/2023","5,480.42","5,376.42","5,481.94","5,376.42","","1.93%"
"05/04/2023","5,376.42","5,372.58","5,383.36","5,332.75","","0.07%"
"05/03/2023","5,372.58","5,369.34","5,394.38","5,350.32","","0.06%"
"05/02/2023","5,369.34","5,416.09","5,416.09","5,316.50","","-0.84%"
"04/28/2023","5,414.68","5,410.22","5,428.47","5,393.07","","0.08%"
"04/27/2023","5,410.22","5,325.59","5,411.13","5,319.21","","1.59%"
"04/26/2023","5,325.59","5,299.58","5,328.80","5,282.24","","0.49%"
"04/25/2023","5,299.58","5,296.78","5,318.12","5,270.82","","0.05%"
"04/24/2023","5,296.78","5,226.93","5,310.98","5,226.93","","1.34%"
"04/21/2023","5,226.93","5,397.59","5,424.18","5,146.91","","-3.16%"
"04/20/2023","5,397.59","5,423.49","5,433.61","5,387.08","","-0.48%"
"04/19/2023","5,423.49","5,474.62","5,474.62","5,419.07","","-0.93%"
"04/18/2023","5,474.62","5,469.94","5,492.36","5,458.96","","0.09%"
"04/17/2023","5,469.94","5,417.18","5,474.76","5,417.18","","0.97%"
"04/14/2023","5,417.18","5,365.12","5,423.43","5,365.12","","1.43%"
"04/13/2023","5,341.03","5,353.09","5,357.60","5,334.51","","-0.23%"
"04/12/2023","5,353.09","5,306.88","5,363.56","5,306.88","","0.87%"
"04/11/2023","5,306.88","5,281.48","5,313.40","5,281.48","","0.48%"
"04/10/2023","5,281.48","5,274.20","5,310.40","5,261.27","","0.14%"
"04/06/2023","5,274.20","5,236.22","5,276.86","5,226.49","","0.73%"
"04/05/2023","5,236.22","5,228.00","5,238.63","5,199.35","","0.16%"
"04/04/2023","5,228.00","5,309.00","5,309.78","5,226.09","","-1.53%"
"04/03/2023","5,309.00","5,324.62","5,339.99","5,295.71","","-0.29%"
"03/31/2023","5,324.62","5,309.20","5,345.25","5,301.90","","0.29%"
"03/30/2023","5,309.20","5,313.76","5,333.81","5,298.84","","-0.09%"
"03/29/2023","5,313.76","5,244.75","5,313.76","5,244.75","","1.32%"
"03/28/2023","5,244.75","5,258.08","5,289.84","5,244.64","","-0.25%"
"03/27/2023","5,258.08","5,248.86","5,286.81","5,248.86","","0.18%"
"03/24/2023","5,248.86","5,275.37","5,275.37","5,217.08","","-0.50%"
"03/23/2023","5,275.37","5,271.18","5,313.98","5,261.93","","0.08%"
"03/22/2023","5,271.18","5,299.17","5,324.37","5,265.36","","-0.53%"
"03/21/2023","5,299.17","5,170.09","5,302.18","5,170.09","","2.50%"
"03/20/2023","5,170.09","5,112.03","5,191.66","5,096.85","","1.14%"
"03/17/2023","5,112.03","5,198.35","5,225.28","5,112.03","","-1.64%"
"03/16/2023","5,197.37","5,196.61","5,227.27","5,145.53","","0.01%"
"03/15/2023","5,196.61","5,298.78","5,298.78","5,182.75","","-1.93%"
"03/14/2023","5,298.78","5,337.04","5,360.50","5,288.67","","-0.72%"
"03/13/2023","5,337.04","5,393.72","5,393.72","5,308.73","","-1.05%"
"03/10/2023","5,393.72","5,410.59","5,424.46","5,366.42","","-0.31%"
"03/09/2023","5,410.59","5,416.39","5,459.91","5,409.47","","-0.11%"
"03/08/2023","5,416.39","5,403.44","5,421.80","5,391.36","","0.24%"
"03/07/2023","5,403.44","5,427.52","5,432.97","5,359.73","","-0.44%"
"03/06/2023","5,427.52","5,439.46","5,449.87","5,413.68","","-0.22%"
"03/03/2023","5,439.46","5,407.24","5,477.74","5,407.24","","0.60%"
"03/02/2023","5,407.24","5,375.37","5,407.54","5,327.83","","0.59%"
"03/01/2023","5,375.37","5,394.90","5,413.37","5,357.90","","-0.36%"
"02/28/2023","5,394.90","5,357.10","5,396.39","5,355.43","","0.71%"
"02/27/2023","5,357.10","5,331.57","5,379.87","5,328.86","","0.48%"
"02/24/2023","5,331.57","5,312.79","5,337.71","5,304.12","","0.35%"
"02/23/2023","5,312.79","5,258.46","5,330.71","5,258.46","","1.03%"
"02/22/2023","5,258.46","5,261.37","5,297.81","5,248.68","","-0.06%"
"02/21/2023","5,261.37","5,330.76","5,347.59","5,260.39","","-1.30%"
"02/20/2023","5,330.76","5,328.96","5,356.56","5,325.29","","0.03%"
"02/17/2023","5,328.96","5,451.45","5,451.45","5,325.81","","-2.25%"
"02/16/2023","5,451.45","5,404.30","5,451.45","5,396.33","","0.87%"
"02/15/2023","5,404.30","5,332.43","5,404.92","5,329.07","","1.35%"
"02/14/2023","5,332.43","5,366.18","5,382.68","5,332.43","","-0.63%"
"02/13/2023","5,366.18","5,392.45","5,406.39","5,352.62","","-0.49%"
"02/10/2023","5,392.45","5,356.92","5,392.45","5,337.79","","0.66%"
"02/09/2023","5,356.92","5,328.83","5,375.31","5,328.83","","0.53%"
"02/08/2023","5,328.83","5,271.27","5,328.83","5,271.27","","1.09%"
"02/07/2023","5,271.27","5,285.62","5,300.67","5,264.83","","-0.27%"
"02/06/2023","5,285.62","5,314.29","5,327.42","5,279.25","","-0.54%"
"02/03/2023","5,314.29","5,313.52","5,341.43","5,282.15","","0.01%"
"02/02/2023","5,313.52","5,308.17","5,339.53","5,302.66","","0.10%"
"02/01/2023","5,308.17","5,322.39","5,343.64","5,302.17","","-0.27%"
"01/31/2023","5,322.39","5,337.95","5,346.92","5,316.53","","-0.29%"
"01/30/2023","5,337.95","5,351.34","5,369.35","5,322.71","","-0.25%"
"01/27/2023","5,351.34","5,333.69","5,358.02","5,328.59","","0.33%"
"01/26/2023","5,333.69","5,258.96","5,334.03","5,258.96","","1.43%"
"01/25/2023","5,258.36","5,256.63","5,265.77","5,243.97","","0.03%"
"01/24/2023","5,256.63","5,311.84","5,315.09","5,256.53","","-1.04%"
"01/23/2023","5,311.84","5,235.97","5,326.56","5,235.97","","1.45%"
"01/20/2023","5,235.97","5,207.83","5,260.21","5,207.83","","0.54%"
"01/19/2023","5,207.83","5,229.55","5,229.55","5,180.25","","-0.42%"
"01/18/2023","5,229.55","5,176.10","5,230.46","5,155.63","","1.03%"
"01/17/2023","5,176.10","5,156.11","5,178.84","5,148.59","","0.39%"
"01/16/2023","5,156.11","5,156.65","5,163.64","5,121.53","","-0.01%"
"01/13/2023","5,156.65","5,201.83","5,207.27","5,146.65","","-0.87%"
"01/12/2023","5,201.83","5,180.43","5,219.44","5,165.00","","0.41%"
"01/11/2023","5,180.43","5,144.37","5,204.56","5,131.77","","0.70%"
"01/10/2023","5,144.37","5,159.91","5,166.02","5,105.41","","-0.30%"
"01/09/2023","5,159.91","5,136.69","5,169.76","5,128.86","","0.45%"
"01/06/2023","5,136.69","5,124.20","5,140.56","5,104.43","","0.24%"
"01/05/2023","5,124.20","5,091.47","5,124.20","5,071.69","","0.64%"
"01/04/2023","5,091.47","5,136.53","5,148.18","5,073.25","","-0.88%"
"01/03/2023","5,136.53","5,261.91","5,268.26","5,132.92","","-2.39%"
"12/30/2022","5,262.43","5,249.37","5,262.84","5,222.65","","0.25%"
"12/29/2022","5,249.37","5,215.42","5,249.37","5,214.82","","0.65%"
"12/28/2022","5,215.42","5,197.25","5,228.34","5,173.56","","0.35%"
"12/27/2022","5,197.25","5,222.44","5,241.24","5,194.67","","-0.48%"
"12/26/2022","5,222.44","5,256.91","5,266.29","5,211.60","","-0.63%"
"12/23/2022","5,255.38","5,222.23","5,264.69","5,222.23","","0.63%"
"12/22/2022","5,222.23","5,269.70","5,274.16","5,200.40","","-0.90%"
"12/21/2022","5,269.70","5,287.93","5,327.04","5,256.79","","-0.34%"
"12/20/2022","5,287.93","5,206.95","5,312.16","5,187.50","","1.56%"
"12/19/2022","5,206.95","5,161.25","5,206.95","5,155.45","","0.89%"
"12/16/2022","5,161.25","5,132.77","5,161.25","5,108.87","","0.55%"
"12/15/2022","5,132.77","5,206.46","5,206.46","5,122.89","","-1.42%"
"12/14/2022","5,206.46","5,226.76","5,228.60","5,190.82","","-0.39%"
"12/13/2022","5,226.76","5,257.07","5,291.32","5,226.76","","-0.58%"
"12/12/2022","5,257.07","5,192.68","5,260.03","5,183.66","","1.24%"
"12/09/2022","5,192.68","5,202.85","5,214.75","5,156.05","","-0.20%"
"12/07/2022","5,202.85","5,239.16","5,247.47","5,194.77","","-0.69%"
"12/06/2022","5,239.16","5,274.19","5,292.48","5,214.38","","-0.66%"
"12/05/2022","5,274.19","5,290.76","5,301.01","5,267.01","","-0.31%"
"12/02/2022","5,290.76","5,274.68","5,310.15","5,233.06","","0.30%"
"12/01/2022","5,274.68","5,282.61","5,291.94","5,249.29","","-0.15%"
"11/30/2022","5,282.61","5,244.86","5,282.61","5,211.41","","0.72%"
"11/29/2022","5,244.86","5,207.64","5,249.43","5,198.00","","0.71%"
"11/28/2022","5,207.64","5,249.57","5,255.04","5,199.45","","-0.80%"
"11/25/2022","5,249.57","5,273.72","5,273.72","5,221.59","","-0.46%"
"11/24/2022","5,273.72","5,260.91","5,303.59","5,260.91","","0.24%"
"11/23/2022","5,260.91","5,294.78","5,303.69","5,257.51","","-0.64%"
"11/22/2022","5,294.78","5,312.69","5,327.99","5,252.95","","-0.34%"
"11/21/2022","5,312.69","5,196.92","5,328.24","5,196.92","","2.23%"
"11/18/2022","5,196.92","5,172.31","5,201.06","5,148.92","","0.48%"
"11/17/2022","5,172.31","5,230.45","5,263.67","5,168.80","","-1.11%"
"11/16/2022","5,230.45","5,239.13","5,252.30","5,200.85","","-0.17%"
"11/15/2022","5,239.13","5,302.44","5,302.44","5,218.71","","-1.19%"
"11/14/2022","5,302.44","5,350.79","5,378.52","5,281.41","","-0.90%"
"11/11/2022","5,350.79","5,339.54","5,368.82","5,334.72","","0.21%"
"11/10/2022","5,339.54","5,350.36","5,421.27","5,311.11","","-0.20%"
"11/09/2022","5,350.36","5,406.12","5,406.12","5,315.98","","-1.03%"
"11/08/2022","5,406.12","5,289.55","5,406.12","5,289.55","","2.20%"
"11/07/2022","5,289.55","5,220.04","5,290.16","5,212.16","","1.33%"
"11/04/2022","5,220.04","5,180.30","5,223.90","5,180.30","","0.77%"
"11/03/2022","5,180.30","5,194.66","5,199.53","5,114.99","","-0.28%"
"11/02/2022","5,194.66","5,193.81","5,219.66","5,171.52","","0.02%"
"10/28/2022","5,193.81","5,187.41","5,196.99","5,120.17","","0.12%"
"10/27/2022","5,187.41","5,151.34","5,196.62","5,142.35","","0.70%"
"10/26/2022","5,151.34","5,164.31","5,164.67","5,117.02","","-0.25%"
"10/25/2022","5,164.31","5,108.17","5,164.31","5,094.97","","1.10%"
"10/24/2022","5,108.17","5,147.37","5,182.32","5,101.63","","-0.76%"
"10/21/2022","5,147.37","5,139.35","5,153.26","5,082.43","","0.16%"
"10/20/2022","5,139.35","5,087.69","5,139.63","5,069.78","","1.02%"
"10/19/2022","5,087.69","5,122.85","5,127.82","5,075.20","","-0.69%"
"10/18/2022","5,122.85","5,103.06","5,170.97","5,081.46","","0.39%"
"10/17/2022","5,103.06","4,972.39","5,106.17","4,972.39","","2.63%"
"10/14/2022","4,972.39","4,961.09","5,028.88","4,961.09","","0.23%"
"10/13/2022","4,961.09","4,936.57","4,984.46","4,870.68","","0.50%"
"10/12/2022","4,936.57","4,988.80","5,011.21","4,905.19","","-1.05%"
"10/11/2022","4,988.80","5,079.68","5,089.19","4,961.49","","-1.79%"
"10/07/2022","5,079.68","5,183.55","5,184.76","5,079.45","","-2.00%"
"10/06/2022","5,183.55","5,192.25","5,210.54","5,168.00","","-0.17%"
"10/05/2022","5,192.25","5,248.87","5,248.87","5,172.81","","-1.08%"
"10/04/2022","5,248.87","5,143.23","5,268.76","5,143.23","","2.05%"
"10/03/2022","5,143.23","5,114.19","5,153.41","5,108.91","","0.57%"
"09/30/2022","5,114.19","5,035.38","5,157.70","5,035.38","","1.57%"
"09/29/2022","5,035.38","5,100.24","5,109.40","5,024.98","","-1.27%"
"09/28/2022","5,100.24","5,180.64","5,191.90","5,099.70","","-1.55%"
"09/27/2022","5,180.64","5,178.75","5,222.29","5,140.17","","0.04%"
"09/26/2022","5,178.75","5,207.22","5,249.16","5,176.10","","-0.55%"
"09/23/2022","5,207.22","5,303.06","5,303.06","5,207.09","","-1.81%"
"09/22/2022","5,303.06","5,369.33","5,370.19","5,294.71","","-1.23%"
"09/21/2022","5,369.33","5,340.97","5,401.64","5,334.24","","0.54%"
"09/20/2022","5,340.29","5,522.92","5,549.84","5,340.29","","-3.31%"
"09/15/2022","5,522.92","5,609.33","5,632.79","5,498.72","","-1.54%"
"09/14/2022","5,609.33","5,580.67","5,660.64","5,567.96","","0.51%"
"09/13/2022","5,580.67","5,596.26","5,629.68","5,527.69","","-0.28%"
"09/12/2022","5,596.26","5,612.07","5,647.99","5,578.31","","-0.28%"
"09/09/2022","5,612.03","5,516.80","5,616.99","5,516.80","","1.75%"
"09/08/2022","5,515.58","5,540.82","5,584.67","5,515.58","","-0.45%"
"09/07/2022","5,540.62","5,608.08","5,608.08","5,514.90","","-1.20%"
"09/06/2022","5,607.74","5,779.25","5,842.38","5,587.53","","-2.90%"
"09/05/2022","5,775.25","5,653.20","6,013.31","5,653.20","","2.16%"
"09/02/2022","5,653.20","5,408.05","5,708.68","5,227.82","","4.53%"
"09/01/2022","5,408.05","5,441.26","5,455.21","5,380.19","","-0.61%"
"08/31/2022","5,441.26","5,536.39","5,549.94","5,440.79","","-1.72%"
"08/30/2022","5,536.39","5,517.11","5,545.71","5,479.61","","0.35%"
"08/29/2022","5,517.11","5,461.80","5,517.32","5,421.80","","1.01%"
"08/26/2022","5,461.80","5,460.61","5,479.18","5,440.73","","0.02%"
"08/25/2022","5,460.61","5,418.17","5,465.83","5,417.39","","0.78%"
"08/24/2022","5,418.17","5,377.52","5,426.42","5,375.00","","0.76%"
"08/23/2022","5,377.52","5,340.49","5,388.47","5,335.79","","0.69%"
"08/22/2022","5,340.49","5,292.84","5,354.79","5,257.92","","0.90%"
"08/19/2022","5,292.84","5,345.53","5,353.89","5,265.31","","-0.99%"
"08/18/2022","5,345.53","5,405.31","5,405.31","5,322.12","","-1.11%"
"08/17/2022","5,405.31","5,386.81","5,416.74","5,353.37","","0.34%"
"08/16/2022","5,386.81","5,394.91","5,445.34","5,339.35","","-0.15%"
"08/12/2022","5,394.91","5,325.90","5,406.32","5,322.97","","1.30%"
"08/11/2022","5,325.90","5,272.93","5,325.90","5,260.33","","1.00%"
"08/10/2022","5,272.93","5,236.34","5,286.93","5,236.34","","0.70%"
"08/09/2022","5,236.34","5,260.34","5,260.34","5,215.81","","-0.46%"
"08/08/2022","5,260.34","5,212.40","5,271.33","5,212.40","","0.92%"
"08/05/2022","5,212.40","5,174.64","5,212.40","5,131.05","","0.73%"
"08/04/2022","5,174.64","5,206.05","5,222.06","5,154.00","","-0.60%"
"08/03/2022","5,206.05","5,248.53","5,269.32","5,181.83","","-0.81%"
"08/02/2022","5,248.53","5,258.39","5,261.32","5,219.63","","-0.19%"
"08/01/2022","5,258.39","5,259.05","5,272.84","5,229.79","","-0.01%"
"07/29/2022","5,259.05","5,259.39","5,287.30","5,243.19","","-0.01%"
"07/28/2022","5,259.39","5,251.32","5,286.88","5,242.09","","0.15%"
"07/27/2022","5,251.32","5,200.13","5,251.39","5,189.10","","0.98%"
"07/26/2022","5,200.13","5,236.33","5,238.16","5,183.07","","-0.69%"
"07/25/2022","5,236.33","5,220.33","5,237.57","5,186.73","","0.31%"
"07/22/2022","5,220.33","5,204.45","5,237.57","5,189.38","","0.31%"
"07/21/2022","5,204.45","5,147.00","5,205.13","5,121.90","","1.12%"
"07/20/2022","5,147.00","5,160.19","5,172.07","5,112.96","","-0.26%"
"07/19/2022","5,160.19","5,081.74","5,160.19","5,069.56","","1.54%"
"07/18/2022","5,081.74","5,091.73","5,140.46","5,071.34","","-0.20%"
"07/15/2022","5,091.73","5,136.05","5,137.91","5,057.68","","-0.86%"
"07/14/2022","5,136.05","5,117.81","5,136.05","5,053.80","","0.36%"
"07/13/2022","5,117.81","5,074.26","5,132.99","5,046.32","","0.86%"
"07/12/2022","5,074.26","5,058.45","5,078.93","5,017.52","","0.31%"
"07/11/2022","5,058.45","5,112.78","5,125.83","5,058.45","","-1.06%"
"07/08/2022","5,112.78","5,101.42","5,118.55","5,074.10","","0.22%"
"07/07/2022","5,101.42","5,006.95","5,105.43","5,006.95","","1.89%"
"07/06/2022","5,006.95","5,003.81","5,043.90","4,979.53","","0.06%"
"07/05/2022","5,003.81","4,989.07","5,008.45","4,935.71","","0.30%"
"07/04/2022","4,989.07","4,993.37","5,001.66","4,968.86","","-0.09%"
"07/01/2022","4,993.37","4,950.39","5,007.01","4,950.39","","0.87%"
"06/30/2022","4,950.39","5,009.63","5,011.64","4,950.39","","-1.18%"
"06/29/2022","5,009.63","5,004.48","5,019.62","4,978.02","","0.10%"
"06/28/2022","5,004.48","4,983.66","5,083.12","4,937.76","","0.42%"
"06/24/2022","4,983.66","4,934.81","5,017.97","4,934.81","","0.99%"
"06/23/2022","4,934.81","5,056.37","5,095.51","4,924.04","","-2.40%"
"06/22/2022","5,056.37","5,084.37","5,102.37","5,056.37","","-0.55%"
"06/20/2022","5,084.37","5,067.06","5,098.48","5,051.96","","0.34%"
"06/17/2022","5,067.06","5,029.48","5,107.83","4,998.08","","0.75%"
"06/16/2022","5,029.48","5,139.41","5,139.41","4,991.55","","-2.14%"
"06/15/2022","5,139.41","5,121.40","5,152.48","5,103.65","","0.35%"
"06/14/2022","5,121.40","5,131.30","5,165.80","5,114.27","","-0.19%"
"06/13/2022","5,131.30","5,237.85","5,237.85","5,098.85","","-2.03%"
"06/10/2022","5,237.85","5,184.27","5,238.71","5,136.49","","1.03%"
"06/09/2022","5,184.27","5,277.00","5,279.33","5,184.27","","-1.76%"
"06/08/2022","5,277.00","5,358.95","5,358.95","5,262.44","","-1.53%"
"06/07/2022","5,358.95","5,332.59","5,367.98","5,313.67","","0.49%"
"06/06/2022","5,332.59","5,352.44","5,393.33","5,317.70","","-0.37%"
"06/03/2022","5,352.44","5,353.13","5,357.31","5,318.48","","-0.01%"
"06/02/2022","5,353.13","5,299.11","5,366.81","5,275.70","","1.02%"
