"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2018","46,793.58","46,876.47","47,045.19","46,727.22","141.07M","-0.14%"
"03/26/2018","46,858.46","46,621.05","46,938.93","45,895.10","152.46M","0.74%"
"03/23/2018","46,515.93","47,510.59","47,638.50","46,450.68","226.18M","-1.78%"
"03/22/2018","47,361.04","47,457.93","47,566.49","47,152.46","180.01M","-0.34%"
"03/21/2018","47,521.84","47,078.86","47,606.38","46,896.78","251.16M","0.95%"
"03/20/2018","47,076.51","47,342.38","47,360.51","46,987.31","210.50M","-0.84%"
"03/16/2018","47,477.58","47,833.39","47,920.38","47,365.20","645.61M","-0.71%"
"03/15/2018","47,817.05","48,107.86","48,508.26","47,778.92","148.71M","-0.70%"
"03/14/2018","48,156.44","48,572.49","48,608.30","48,096.81","134.50M","-0.82%"
"03/13/2018","48,557.01","48,652.99","48,896.67","48,471.26","186.90M","-0.23%"
"03/12/2018","48,671.29","48,592.85","48,983.93","48,521.98","160.79M","0.24%"
"03/09/2018","48,556.45","48,242.62","48,809.32","48,208.75","162.62M","0.66%"
"03/08/2018","48,240.00","47,710.21","48,285.77","47,696.32","166.79M","1.21%"
"03/07/2018","47,662.12","47,815.70","47,831.92","47,529.77","173.03M","-0.46%"
"03/06/2018","47,884.63","47,825.47","48,233.35","47,617.75","176.24M","0.34%"
"03/05/2018","47,720.91","47,628.81","47,827.40","47,217.98","153.08M","0.36%"
"03/02/2018","47,548.10","47,513.44","47,683.49","47,034.82","140.15M","-0.11%"
"03/01/2018","47,599.42","47,470.67","47,800.56","47,157.11","186.23M","0.34%"
"02/28/2018","47,437.93","48,055.39","48,062.13","47,231.79","276.73M","-1.11%"
"02/27/2018","47,970.19","48,481.90","48,532.55","47,886.36","167.33M","-1.02%"
"02/26/2018","48,463.44","48,662.29","48,713.99","48,240.32","146.54M","-0.37%"
"02/23/2018","48,643.43","49,176.31","49,176.31","48,488.18","122.44M","-0.67%"
"02/22/2018","48,969.64","48,552.29","49,086.63","48,538.90","180.20M","0.89%"
"02/21/2018","48,535.59","48,749.05","48,930.70","48,431.97","152.63M","-0.31%"
"02/20/2018","48,685.19","48,913.12","48,955.16","48,492.19","145.27M","-0.50%"
"02/19/2018","48,928.48","48,886.97","49,198.14","48,820.53","17.14M","0.09%"
"02/16/2018","48,882.78","48,831.25","49,378.25","48,621.12","135.87M","0.15%"
"02/15/2018","48,808.39","48,547.85","48,984.22","48,378.02","196.89M","0.84%"
"02/14/2018","48,400.75","47,871.59","48,560.26","47,758.96","156.70M","0.99%"
"02/13/2018","47,926.73","47,892.47","47,995.86","47,675.48","136.95M","0.20%"
"02/12/2018","47,830.49","47,950.63","48,234.74","47,504.60","140.37M","0.07%"
"02/09/2018","47,799.09","47,998.80","48,139.85","46,985.81","187.47M","-0.13%"
"02/08/2018","47,862.10","49,054.75","49,054.75","47,726.13","260.88M","-2.28%"
"02/07/2018","48,976.45","49,247.64","49,504.98","48,853.69","191.36M","-0.67%"
"02/06/2018","49,304.94","49,023.33","49,709.92","48,681.96","249.45M","-2.16%"
"02/02/2018","50,395.83","50,388.00","50,513.31","49,900.47","141.40M","-0.39%"
"02/01/2018","50,591.15","50,425.84","50,926.96","50,420.76","178.40M","0.27%"
"01/31/2018","50,456.17","50,385.95","50,566.66","50,127.01","199.87M","0.15%"
"01/30/2018","50,382.86","50,461.54","50,556.41","49,928.62","135.25M","-0.50%"
"01/29/2018","50,636.32","51,081.47","51,121.23","50,520.28","157.83M","-0.84%"
"01/26/2018","51,065.49","50,772.37","51,107.51","50,340.13","207.90M","0.57%"
"01/25/2018","50,777.90","50,821.83","51,100.03","50,625.56","217.70M","0.06%"
