Mes,Year,Linea,KM
9,2021,LMAV,137345.049
7,2023,203M,917628.009999997
8,2023,LI41,325143.12
6,2023,L122,211776.033
9,2023,LI41,324889.1
10,2021,L101,83218.544
4,2023,359V,92607.742
5,2020,LI41,276706.08
11,2021,LMAV,150801.169
3,2022,359V,57776.06
11,2023,LEXP,136520.805
2,2023,LMAV,135233.934
7,2022,203M,1016248.99
10,2020,LMAV,114695.266
1,2021,LMAV,111913.533
10,2021,L133/125,155029.498
6,2023,L103,235491.111
11,2021,L143/136/137,162433.474
12,2022,LEXP,373810.211
3,2021,LMAV,144408.201
3,2020,L142,280632.814
6,2021,LMAV,108413.542
9,2019,203M,1014650.95
11,2021,L740,270787.53
4,2021,LMAV,138116.256
4,2020,LMAV,114549.224
12,2021,LMAV,147739.66
1,2023,LEXP,328800.03
9,2022,LMAV,173445.698
4,2022,LEXP,362796.038
12,2020,N339,57425.88
8,2020,N339,11498.103
11,2020,N339,15559.633
3,2023,203M,999308.62
6,2022,LIGM,98041.7989999999
11,2021,L102/144,109837.975
4,2023,L359,177903.453
7,2020,L440,842984.769999997
2,2023,203M,811309.65
7,2020,N339,3448.648
1,2021,L359,208681.379
4,2021,203M,865682.410000001
12,2022,203M,908065.839999999
1,2022,203M,854434.140000001
7,2021,LINA,427841.271
1,2023,LMAV,155279.421
5,2022,L440,1013134.64
1,2020,LEXP,423441.217000001
5,2020,LMAV,37634.693
3,2019,L359,299055.103
2,2020,LMAV,180705.935
6,2019,L440,1011849.274
9,2020,LMAV,55162.39
6,2022,359V,74587.298
3,2020,LEXP,372207.786
1,2019,L315,214421.97
1,2019,L145,166087.878
5,2019,L142,327192.346
10,2023,L143/136/137,183123.965
10,2023,L140,110608.915
7,2022,L359,201800.753
12,2020,L142,250686.39
12,2020,359V,78721.279
1,2021,N339,72076.322
10,2019,L740,300365.393
2,2021,N339,72135.828
4,2023,L133/125,164267.721
3,2023,L140,115079.698
8,2023,359V,154214
12,2020,L440,814058.577999999
7,2020,L142,26580.482
9,2022,359V,49772.82
3,2020,359V,236963.364
3,2022,LEXP,398082.802000001
7,2022,LEXP,346226.676000001
3,2021,L440,887318.126
10,2023,L133/125,163226.049
6,2019,L102,166517.461
2,2019,L145,142569.132
5,2020,L339,27665.979
10,2019,L440,1148777.785
10,2021,L440,953827.540000004
5,2022,LIGM,93011.8090000001
8,2020,LMAV,91960.574
3,2020,L359,212869.63
11,2023,L315,117480.09
6,2020,LMAV,95715.9779999999
5,2021,LMAV,106204.147
9,2021,LIGM,124394.679
6,2022,LEXP,364473.827
7,2021,LMAV,102314.569
8,2019,L440,1122126.624
8,2021,LMAV,121363.303
8,2020,LIGM,90299.308
4,2021,LEXP,308420.986
10,2019,LEXP,484543.372
10,2021,L142,293057.288
3,2021,LI41,336011.49
10,2020,359V,137569.026
7,2020,LMAV,16293.082
5,2019,L315,289398.208
9,2021,LEXP,325267.188
6,2019,LIGM,53093.1940000001
1,2020,L740,251122.296
10,2020,N339,16991.834
6,2020,N339,15350.046
8,2020,LEXP,219017.642
7,2023,L122,232673.672
2,2020,LEXP,378553.374999999
5,2023,L103,259688.891
7,2019,L440,1094946.145
11,2019,359V,281958.919
11,2020,359V,40052.916
5,2019,L102,170872.247
5,2019,L107,312723.844
1,2022,359V,68395.8249999999
4,2020,LEXP,240515.24
1,2021,359V,60645.589
8,2021,L440,938529.679999999
7,2023,L110,231986.262
