Mes,Year,Linea,LTS
1,2019,L339,108127.91
8,2023,L133/125,71271.62
4,2022,L128,49172.65
2,2022,L145/133,80736.85
9,2021,L142,133998.07
12,2022,L359,88537.42
11,2022,L359,92769.32
11,2022,359V,22170.12
11,2022,LEXP,190719.92
10,2022,L359,76566.5200000001
10,2022,359V,27200.94
9,2022,L359,83891.43
9,2022,359V,23198.33
8,2022,L359,88568.7900000001
8,2022,359V,20590.8
7,2022,L359,86227.67
7,2022,359V,32747.49
6,2022,L359,83368.57
6,2022,359V,34265.64
5,2022,359V,30550.58
5,2022,L359,80557.76
4,2022,L359,85035.67
4,2022,359V,25326.01
3,2022,L359,91093.56
3,2022,359V,25966.83
2,2022,L359,69059.65
2,2022,359V,22874.33
2,2022,LEXP,142399.64
1,2022,L359,72438.5899999999
1,2022,359V,31670.62
12,2021,L359,81415.02
12,2021,LEXP,168106.67
12,2021,359V,37022.33
11,2021,L359,81160.92
11,2021,359V,27396.39
10,2021,L359,72921.79
10,2021,LEXP,137204.77
10,2021,359V,32304.69
9,2021,359V,30419.51
9,2021,LEXP,140924.81
8,2021,LEXP,124406.53
8,2021,359V,33656.35
8,2021,L359,69884.49
7,2021,LEXP,106244.99
7,2021,359V,39462.41
6,2021,LEXP,84641.69
6,2021,359V,44604.42
5,2021,LEXP,96420.06
5,2021,359V,13047.53
5,2021,LMAV,34606.94
4,2021,LMAV,46620.68
4,2021,LEXP,133334.7
3,2021,LEXP,140965.36
3,2021,359V,34088.58
2,2021,LEXP,100282.85
2,2021,359V,41428.07
5,2020,LEXP,29656.52
3,2020,LEXP,156865.33
2,2020,LEXP,171948.11
1,2020,LEXP,189645.56
12,2019,LEXP,207411.32
12,2019,359V,125874.63
11,2019,LEXP,209778.29
11,2019,L359,110898.23
10,2019,LEXP,208685.96
9,2019,LEXP,201611.19
8,2019,LEXP,212125.17
7,2019,LEXP,200832.56
6,2019,LEXP,183265.67
5,2019,LEXP,182940.95
5,2019,L359,124693.1
5,2019,N339,94033.7300000002
4,2019,LEXP,193834.07
3,2019,LEXP,180278.55
2,2019,LEXP,168074.95
1,2019,LEXP,194406.6
12,2021,L107,81258.07
10,2021,L107,79953.75
9,2021,L107,80371.42
8,2021,L142,128768.54
7,2021,L142,117478.65
6,2021,L142,108381.63
5,2021,L142,84712.6299999999
4,2021,L142,117684.65
3,2021,L142,123161.79
2,2021,L142,96027.53
1,2021,L142,105462.19
11,2020,L142,61655.07
10,2020,L142,92003.56
9,2020,L142,38933.16
2,2019,L103,85812.64
9,2023,L110,111789.85
4,2023,L133/125,67086.93
4,2023,L110,103280.79
1,2023,L138,43697.8
6,2022,L107,89614.15
1,2022,L101,25236.9
7,2021,L101,27332.82
5,2021,L101,24544.03
2,2020,L129,36282.64
4,2019,L103,95349.27
11,2021,L107,81764.1
8,2021,L107,79847.35
7,2021,L107,74992.5099999999
12,2022,L126,22716.33
3,2021,L128,52926.3600000001
1,2021,L125,13191.15
9,2019,L128,58151.32
11,2023,L130,13932.68
11,2023,L103,44909.65
10,2023,L126,23624.31
9,2020,L143,27371.78
8,2020,L143,58115.07
7,2020,L146,3445.56
10,2019,L146,70367.4099999999
3,2019,L145,77034.54
2,2019,L145,59572.8800000001
1,2020,L102,39849.87
6,2023,L138,41710.61
6,2023,L140,45412.2
9,2022,L138,43910.3
1,2022,L128,39908.68
12,2019,L128,65064.26
7,2019,L145,80018.5199999999
6,2019,L128,62594.24
5,2019,L128,65322.12
5,2019,L145,83234.08
7,2023,L103,94313.1800000001
6,2022,L126,23386.9
6,2020,L129,18889.28
5,2020,L129,7362.75
12,2019,L103,101598.9
2,2019,L130,23556.35
11,2023,L107,41686.54
9,2023,L140,49184.1999999999
6,2023,L122,99748.8
7,2022,L101,39105.87
6,2022,L101,41865.29
3,2022,L142,138006.86
1,2021,L102,13041.6
