Mes,Year,Linea,LTS,KM,Consumo
2,2023,L107,77990.38,149701.417,52.0972890991406
2,2023,L146,45203.35,94629.951,47.7685442318363
1,2023,L130/146,64539,131719.536,48.9972876916299
12,2022,L130/146,71072.74,140735.082,50.5010825943172
12,2022,L142,147838.6,295596.846,50.0135918229655
12,2022,L103,107562.75,205969.548,52.2226470099356
11,2022,L145/133,112467.89,235860.08,47.6841566406659
11,2022,L143/136/137,85683.5,177852.743,48.1766536487997
11,2022,L110,121093.45,248030.763,48.8219479452232
11,2022,L102/144,51683.57,104892.302,49.2729866868591
11,2022,L128,53015.97,108890.382,48.6874680997997
10,2022,L143/136/137,73814.9600000001,157197.909,46.9567060208162
10,2022,L145/133,96762.49,204762.275,47.2560143219741
10,2022,L122,98839.4900000002,212520.972,46.5081112089024
10,2022,L107,87551.84,178633.905,49.0118827106198
9,2022,L107,101060.41,218730.883,46.2030823512015
9,2022,L143/136/137,82740.7000000001,179386.513,46.1242590740364
9,2022,L142,146401.83,331158.303,44.2090168580191
9,2022,L145/133,111501.37,249211.969,44.7415790049795
8,2022,L122,109611.8,251841.217,43.524170231436
8,2022,L102/144,48935.97,101977.7,47.9869324371897
8,2022,L126,24940.95,58862.722,42.3713840484645
8,2022,L128,52043.45,109867.905,47.3691111157531
8,2022,L145/133,110609.76,235827.438,46.9028374891645
7,2022,L145/133,104363.76,229148.229,45.5442140903477
7,2022,L128,50190.78,105817.023,47.4316689102093
6,2022,L145/133,105364.36,224731.808,46.8844890884338
5,2022,L145/133,103199.39,223413.073,46.1921894785449
4,2022,L101,38530.56,84352.562,45.6779961229867
4,2022,L130/146,69843.78,155568.446,44.8958524661228
3,2022,L130/146,76207.85,163337.547,46.656663700233
2,2022,L102/144,32270.15,66254.158,48.7066034406475
12,2021,L102/144,50395.65,98706.066,51.0562846259115
11,2021,L145/133,106558.28,242988.884,43.8531500889563
11,2021,L143/136/137,79709.4599999999,171603.334,46.4498317963915
9,2021,L102/144,52417.03,119706.223,43.7880577018957
8,2021,L103,91841.0999999999,195418.376,46.9971667352306
7,2021,L130/146,60448,121040.636,49.9402531229265
5,2021,L145/133,66567.6499999999,165654.979,40.1845150697221
4,2021,L128,50966.68,114476.484,44.5215281070302
4,2021,L130/146,68670.71,153987.802,44.5949023936325
3,2021,L143/136/137,86438.6899999999,188968.122,45.7424718440076
3,2021,L103,98106.93,212500.945,46.1677617480713
2,2021,L130/146,63772.74,139077.213,45.8541975528371
2,2021,L102/144,33021.64,77311.162,42.7126421925983
2,2021,L125,14.57,323.771,4.50009420238378
10,2020,L125,14036.1,37108.542,37.8244448407593
7,2020,L125,1664.38,6513.385,25.5532261642756
6,2020,L125,13799.13,36846.223,37.4505956824937
5,2020,L125,3944.3,10739.953,36.7254866012915
3,2020,L125,28342.67,63953.824,44.3173968768467
2,2020,L125,28794.53,58100.947,49.5594848049551
1,2020,L125,32250.16,65121.596,49.5229877351286
12,2019,L125,34697.67,69475.995,49.9419547715725
11,2019,L125,35797.61,77513.753,46.1822691000395
10,2019,L125,35396.97,84783.93,41.7496216558964
9,2019,L125,34156.63,77208.565,44.2394312081827
8,2019,L125,35652.5,76741.242,46.458070094826
8,2019,L130,41443.04,84001.958,49.335802386892
7,2019,L125,34431.7,78700.858,43.7500948210755
6,2019,L125,33338.79,75179.106,44.3458186374283
5,2019,L125,33648.34,76484.865,43.9934619744704
5,2019,L130,38373.68,84265.7579999999,45.5388771320375
4,2019,L125,32844.11,77078.73,42.611119825145
3,2019,L129,41310.52,92707.591,44.5600188230541
6,2023,L143/136/137,74831.74,160481.593,46.6294847908196
5,2023,L143/136/137,87038.5600000001,191562.73,45.4360615971594
5,2023,L142,151904.07,332390.264,45.7005172690617
5,2023,L126,25829.24,59837.84,43.1653950075738
4,2023,L126,23047.94,51368.622,44.8677404661547
4,2023,L145/133,100978.94,213853.921,47.2186525866878
4,2023,L140,49807.67,109006.498,45.6923861548144
3,2023,L102/144,54805.19,111873.295,48.9886259272153
3,2023,L122,114896.64,235422.811,48.8043786037368
3,2023,L101,129204.54,291633.726,44.303703063479
3,2023,L128,54692.82,107099.465,51.0673139216895
3,2023,L110,116111.03,236647.331,49.0650072026378
1,2023,L110,100540.06,207370.678,48.4832575992253
1,2023,L143/136/137,77655.94,150747.814,51.5138083528031
12,2022,L143/136/137,81173.34,161040.308,50.4056040429332
11,2022,L142,156455.12,334297.461,46.801169094132
11,2022,L103,113184.9,228478.747,49.5384807060414
10,2022,L140,46892.12,100410.76,46.7002938728877
10,2022,L138,40033.97,87004.543,46.0136547122602
10,2022,L110,102304.06,218270.958,46.8702116568344
10,2022,L101,40323.52,89804.586,44.9014040329744
9,2022,L101,45524.9,101477.994,44.8618446281072
9,2022,L140,50914.6,110230.398,46.189255344973
9,2022,L130/146,74056.5299999999,164466.825,45.0282480980586
9,2022,L110,118379.16,251513.148,47.0667879358736
9,2022,L102/144,50020.38,110608.349,45.222969560824
8,2022,L142,147622.58,321482.637,45.9193010787703
8,2022,L107,101711.4,207718.44,48.9659945453085
8,2022,L130/146,75126.56,159868.088,46.9928432496172
8,2022,L140,52442.5,114394.52,45.8435421556907
7,2022,L142,136379.08,300319.41,45.4113438755091
7,2022,L110,108846.9,229691.459,47.3883097237847
6,2022,L110,107396.83,229438.521,46.8085435400798
5,2022,L102/144,46732.46,101644.334,45.976453542408
3,2022,L107,91075.39,196573.479,46.331473840375
2,2022,L107,68773.16,141777.431,48.5078333800533
1,2022,L102/144,34138.1,71416.253,47.801583765533
12,2021,L128,52860.39,103578.585,51.0340916512811
12,2021,L110,107197.13,220945.734,48.5174020151029
11,2021,L142,136047.79,311304.552,43.7024737113385
10,2021,L142,130421.66,305437.137,42.7000008188264
10,2021,L102/144,52386.04,119087.612,43.9894957336117
9,2021,L145/133,101715.99,233289.384,43.6007795365433
9,2021,L128,48788.34,108055.924,45.1510090275106
8,2021,L133/125,66471.14,159117.883,41.7747765032796
8,2021,L128,46470.57,100153.938,46.3991440855775
6,2021,L130/146,59475.4,127958.848,46.4800996020221
6,2021,L133/125,62279.76,144743.839,43.0275723169122
5,2021,L133/125,56264.41,145608.812,38.6408001186082
4,2021,L133/125,75501.61,186604.233,40.4608238442265
1,2021,L143/136/137,19164.09,42231.157,45.3790314103874
1,2021,L129,18347.56,42182.086,43.4960945269516
12,2020,L103,83802.8700000001,205792.84,40.72195611859
10,2020,L129,20052.58,55655.105,36.0300820562642
9,2020,L129,10065.65,29596.957,34.0090705946561
8,2020,L129,18891.22,49111.575,38.4659217302642
1,2020,L143,102290.75,218424.663,46.8311355480951
12,2019,L145,72468.82,150741.3,48.0749602132926
12,2019,L129,41041.04,80918.6,50.7189200010876
12,2019,L144,27545.38,58319.761,47.2316407469502
12,2019,L130,34769.68,64216.423,54.1445293519385
11,2019,L128,73050.33,153491.731,47.5923553171734
11,2019,L144,33147.99,71971.603,46.0570400245219
10,2019,L144,33361.78,76001.4979999999,43.8962137298926
9,2019,L130,36358.92,78749.388,46.1704159529469
7,2019,L129,41296.99,90782.846,45.4898604963321
3,2019,L143,104335.65,236564.316,44.1045597088278
1,2019,LI41,159332.66,280138.69,56.8763493539576
7,2023,L130,29410.11,64085.772,45.8917932673106
5,2023,L103,101079.34,256745.839,39.3694170054299
4,2023,L101,44198.43,110780.576,39.8972740491979
12,2022,L145/133,103650.25,201315.988,51.4863479198681
11,2022,L130/146,78716.7600000001,163174.225,48.2409277568196
10,2022,L142,135649.67,290653.458,46.6705852851061
10,2022,L130/146,68171.8,142839.686,47.7260920329942
7,2022,L130/146,68303.37,147200.382,46.4016255066512
6,2022,L142,135426.86,293781.91,46.0977532619352
6,2022,L143/136/137,81999.8300000001,170808.584,48.0068554400054
5,2022,L128,49949.37,100469.201,49.716101554346
5,2022,L107,89670.9,194991.622,45.9870527155264
5,2022,L130/146,69100.29,149075.238,46.35262765772
4,2022,L143/136/137,80833.33,170592.269,47.3839350832481
3,2022,L102/144,50519.41,106091.404,47.6187590089769
1,2022,L145/133,87229.03,190369.982,45.8207901705847
12,2021,L145/133,109904.62,227361.594,48.3391315421548
10,2021,L145/133,105405.88,240749.664,43.7823580929276
6,2021,L103,80657.27,171529.629,47.022354371209
6,2021,L128,39390.8,76690.57,51.3632901672266
5,2021,L128,35241.04,79647.833,44.2460750940958
2,2021,L103,79945.23,175965.467,45.4323404262042
2,2021,L143/136/137,75101.37,166334.931,45.1506905666135
2,2021,L110,78465.65,181086.43,43.3304969345301
1,2021,L110,79103.73,187340.104,42.2246642929162
1,2021,L130/146,15030.2,35296.15,42.5831145889849
1,2021,L145,39692.26,98262.4059999999,40.3941462617963
6,2020,L130,15249.64,38464.237,39.6462823375386
3,2020,L130,29516.66,62689.791,47.0836790634698
2,2020,L130,30854.16,61176.604,50.4345746292161
11,2019,L130,38387.09,72368.733,53.0437502615944
11,2019,L143,108903.75,230395.597,47.2681559101148
10,2019,L130,37873.36,80340.693,47.140942635384
6,2019,L130,35773.65,80139.38,44.6392896975245
1,2021,L146,33952.68,93981.917,36.1268221417531
12,2020,L146,44741.32,136100.622,32.8737072193542
12,2020,L142,107781.43,268881.981,40.0850326969289
11,2020,L146,27645.21,85187.055,32.4523602793875
11,2020,L107,38226.19,118763.543,32.1868050029461
10,2020,L146,47784.78,139383.251,34.2830143917363
9,2020,L146,20301.53,55969.476,36.2725032480204
8,2020,L146,37386.89,111002.563,33.6811051831299
8,2020,L142,79762.8,220830.372,36.1194881291057
7,2020,L142,8611.19,26491.982,32.5048914799957
