Semana,des_lin,Cantidad_Pasajeros
2019-02-10T00:00:00Z,130,39480
2019-02-10T00:00:00Z,129,30376
2019-02-10T00:00:00Z,RINCÓN,100475
2019-02-10T00:00:00Z,35/9 V,114375
2019-02-10T00:00:00Z,VILLA CONS,3043
2019-02-10T00:00:00Z,FABRICA,274
2019-02-10T00:00:00Z,C ROJA,335
2019-02-17T00:00:00Z,107,123617
2019-02-17T00:00:00Z,315,111070
2019-02-17T00:00:00Z,440,468572
2019-02-17T00:00:00Z,740,179312
2019-02-17T00:00:00Z,PILAR 203,342116
2019-02-17T00:00:00Z,CN33/9,17792
2019-02-17T00:00:00Z,EXPRESO,106218
2019-02-17T00:00:00Z,CP25 A,26491
2019-02-17T00:00:00Z,C AZUL,18958
2019-02-17T00:00:00Z,35/9,80312
2019-02-17T00:00:00Z,LINEA A,73077
2019-02-17T00:00:00Z,MORENO 203,431505
2019-02-17T00:00:00Z,CP33/9,46218
2019-02-17T00:00:00Z,103,111305
2019-02-17T00:00:00Z,143,89414
2019-02-17T00:00:00Z,125,26221
2019-02-17T00:00:00Z,41,239608
2019-02-17T00:00:00Z,110,113123
2019-02-17T00:00:00Z,C NEGRA,23348
2019-02-17T00:00:00Z,128,63241
2019-02-17T00:00:00Z,145,72228
2019-02-17T00:00:00Z,146,73639
2019-02-17T00:00:00Z,142,126926
2019-02-17T00:00:00Z,144,41324
2019-02-17T00:00:00Z,102,58149
2019-02-17T00:00:00Z,101,41935
2019-02-17T00:00:00Z,130,36874
2019-02-17T00:00:00Z,129,28896
2019-02-17T00:00:00Z,RINCÓN,96733
2019-02-17T00:00:00Z,35/9 V,105879
2019-02-17T00:00:00Z,VILLA CONS,3193
2019-02-17T00:00:00Z,FABRICA,279
2019-02-17T00:00:00Z,C ROJA,368
2019-02-24T00:00:00Z,107,134936
2019-02-24T00:00:00Z,315,116083
2019-02-24T00:00:00Z,440,503741
2019-02-24T00:00:00Z,740,195893
2019-02-24T00:00:00Z,PILAR 203,353381
2019-02-24T00:00:00Z,CN33/9,18820
2019-02-24T00:00:00Z,EXPRESO,105572
2019-02-24T00:00:00Z,CP25 A,28651
2019-02-24T00:00:00Z,C AZUL,19666
2019-02-24T00:00:00Z,35/9,85652
2019-02-24T00:00:00Z,LINEA A,79219
2019-02-24T00:00:00Z,MORENO 203,456473
2019-02-24T00:00:00Z,CP33/9,46452
2019-02-24T00:00:00Z,103,121284
2019-02-24T00:00:00Z,143,95183
2019-02-24T00:00:00Z,125,28844
2019-02-24T00:00:00Z,41,246488
2019-02-24T00:00:00Z,110,118904
2019-02-24T00:00:00Z,C NEGRA,24009
2019-02-24T00:00:00Z,128,67814
2019-02-24T00:00:00Z,145,75943
2019-02-24T00:00:00Z,146,82636
2019-02-24T00:00:00Z,142,132446
2019-02-24T00:00:00Z,144,41725
2019-02-24T00:00:00Z,102,65689
2019-02-24T00:00:00Z,101,44940
2019-02-24T00:00:00Z,130,40320
2019-02-24T00:00:00Z,129,31895
2019-02-24T00:00:00Z,RINCÓN,92529
2019-02-24T00:00:00Z,35/9 V,109949
2019-02-24T00:00:00Z,VILLA CONS,3533
2019-02-24T00:00:00Z,FABRICA,253
2019-02-24T00:00:00Z,C ROJA,353
2019-03-03T00:00:00Z,107,104104
2019-03-03T00:00:00Z,315,117787
2019-03-03T00:00:00Z,440,444996
2019-03-03T00:00:00Z,740,169643
