Semana,Linea,KM
2022-10-30T00:00:00Z,N339,35190.768
2022-01-09T00:00:00Z,N339,27679.688
2023-04-16T00:00:00Z,N339,36578.338
2021-02-14T00:00:00Z,203I,180905.22
2022-07-03T00:00:00Z,N339,35706.031
2021-08-08T00:00:00Z,LINA,127476.69
2019-03-03T00:00:00Z,203I,189748.64
2023-02-26T00:00:00Z,L103,47936.358
2021-03-21T00:00:00Z,L339,52153.045
2019-06-16T00:00:00Z,LEXP,101006.325
2022-06-26T00:00:00Z,N339,35472.96
2022-02-13T00:00:00Z,N339,28109.635
2022-05-22T00:00:00Z,N339,33038.711
2021-01-24T00:00:00Z,203I,200476.71
2019-05-12T00:00:00Z,LEXP,118127.197
2020-08-16T00:00:00Z,203I,184747.11
2020-07-26T00:00:00Z,203I,181971.38
2023-08-20T00:00:00Z,N339,35689.037
2023-05-07T00:00:00Z,LINA,155226.437
2022-11-06T00:00:00Z,N339,31500.271
2023-01-08T00:00:00Z,LINA,126792.761
2022-10-23T00:00:00Z,N339,31946.776
2022-10-02T00:00:00Z,N339,26425.315
2022-10-16T00:00:00Z,N339,29322.48
2022-04-03T00:00:00Z,N339,40961.539
2023-04-30T00:00:00Z,N339,30718.85
2022-01-02T00:00:00Z,N339,26526.734
2022-06-19T00:00:00Z,N339,33571.336
2022-10-09T00:00:00Z,N339,20309.253
2021-05-16T00:00:00Z,LINA,133182.583
2019-03-17T00:00:00Z,203I,210240.78
2022-07-24T00:00:00Z,N339,35033.82
2022-06-05T00:00:00Z,N339,32344.11
2021-09-19T00:00:00Z,N339,23485.639
2022-04-24T00:00:00Z,LMAV,38771.268
2022-07-31T00:00:00Z,N339,32307.184
2023-06-04T00:00:00Z,LINA,154611.824
2020-09-20T00:00:00Z,203I,193367.05
2022-11-27T00:00:00Z,N339,31365.382
2021-10-31T00:00:00Z,LINA,154161.185
2021-05-30T00:00:00Z,203I,201127.54
2022-05-08T00:00:00Z,N339,32467.411
2022-04-24T00:00:00Z,N339,31462.966
2022-07-17T00:00:00Z,N339,32706.844
2023-04-16T00:00:00Z,LINA,153951.796
2019-03-24T00:00:00Z,203I,211650.76
2022-07-10T00:00:00Z,N339,29022.523
2019-11-03T00:00:00Z,203M,252058.45
2022-03-06T00:00:00Z,N339,32103.09
2022-06-12T00:00:00Z,N339,32486.106
2019-10-20T00:00:00Z,LINA,162801.653
2021-11-07T00:00:00Z,N339,33522.399
2022-08-07T00:00:00Z,N339,32154.171
2019-06-02T00:00:00Z,LINA,162929.055
2022-05-01T00:00:00Z,N339,33989.295
2022-04-17T00:00:00Z,N339,31406.113
2019-06-16T00:00:00Z,LMAV,45744.056
2021-09-26T00:00:00Z,N339,25602.677
2021-11-21T00:00:00Z,N339,27852.595
2023-05-28T00:00:00Z,LINA,153046.032
2021-11-28T00:00:00Z,N339,31154.055
2022-03-13T00:00:00Z,N339,35005.089
2022-05-29T00:00:00Z,N339,34307.887
2021-11-14T00:00:00Z,N339,29084.897
2019-03-24T00:00:00Z,LINA,163470.267
2021-10-31T00:00:00Z,203I,209915.64
2022-03-27T00:00:00Z,N339,33582.776
2019-06-09T00:00:00Z,LMAV,56110.302
2023-06-11T00:00:00Z,N339,31032.505
2019-05-12T00:00:00Z,359V,86941.3720000001
2019-09-15T00:00:00Z,LINA,163108.818
2019-05-26T00:00:00Z,LEXP,102961.817
2021-01-10T00:00:00Z,LINA,105519.264
2021-04-18T00:00:00Z,LINA,134074.481
2022-09-18T00:00:00Z,N339,29589.117
2023-08-27T00:00:00Z,LINA,155479.783
2019-10-13T00:00:00Z,LINA,153480.785
2022-03-20T00:00:00Z,N339,29402.768
2019-09-29T00:00:00Z,359V,72772.4729999999
2019-10-27T00:00:00Z,L339,94755.7679999999
2019-07-21T00:00:00Z,LINA,162582.801
2022-05-01T00:00:00Z,203I,245368.27
2023-03-05T00:00:00Z,L101,75848.0599999999
2023-04-30T00:00:00Z,LMAV,37200.095
2023-10-29T00:00:00Z,LINA,155692.937
2022-05-15T00:00:00Z,N339,23933.539
2019-08-11T00:00:00Z,LIGM,20675.851
2023-04-30T00:00:00Z,L339,64594.882
2019-10-27T00:00:00Z,LINA,163862.012
2022-12-11T00:00:00Z,N339,30213.504
2023-09-17T00:00:00Z,LINA,157275.539
2023-10-22T00:00:00Z,L339,68710.373
2023-03-12T00:00:00Z,L339,64564.041
2023-07-02T00:00:00Z,LINA,155114.089
2019-01-20T00:00:00Z,LEXP,108951.587
2023-02-05T00:00:00Z,LINA,128115.206
2023-04-23T00:00:00Z,LINA,149672.466
2022-07-24T00:00:00Z,LINA,151102.158
2019-02-03T00:00:00Z,LINA,149253.547
2022-01-02T00:00:00Z,203I,166281.51
2019-08-11T00:00:00Z,203I,222114.46
2019-04-21T00:00:00Z,359V,91136.72
2023-03-19T00:00:00Z,N339,30778.03
2023-05-07T00:00:00Z,LMAV,43267.367
2019-04-14T00:00:00Z,LINA,150795.96
2019-04-28T00:00:00Z,359V,70725.543
2019-06-23T00:00:00Z,LINA,161677.331
2022-07-24T00:00:00Z,203I,225243.56
2023-08-06T00:00:00Z,N339,42702.396
2019-07-07T00:00:00Z,LINA,133073.228
2019-01-06T00:00:00Z,359V,81875.673
2022-01-09T00:00:00Z,LINA,117002.364
2019-11-17T00:00:00Z,LINA,149802.496
2019-03-17T00:00:00Z,L125,19599.271
2019-08-04T00:00:00Z,359V,88446.44
2019-09-22T00:00:00Z,LINA,162899.852
2023-06-04T00:00:00Z,203I,222958.82
2019-08-18T00:00:00Z,LINA,152041.914
2019-08-11T00:00:00Z,LINA,155667.149
2019-12-08T00:00:00Z,LINA,161127.509
2019-10-06T00:00:00Z,LINA,158038.861
2019-02-17T00:00:00Z,LINA,149916.667
2019-04-07T00:00:00Z,LINA,165880.193
2022-09-11T00:00:00Z,N339,27235.689
2019-04-21T00:00:00Z,LINA,165746.418
2019-01-06T00:00:00Z,LINA,149717.805
2020-05-24T00:00:00Z,203I,189746.85
2019-10-20T00:00:00Z,L339,93802.333
2019-08-25T00:00:00Z,LINA,161233.908
2023-01-08T00:00:00Z,N339,30084.242
2022-10-02T00:00:00Z,L339,70789.657
2019-01-06T00:00:00Z,LMAV,51791.766
2022-08-28T00:00:00Z,N339,29115.468
2019-02-24T00:00:00Z,LMAV,50945.875
2019-01-13T00:00:00Z,359V,82616.194
2019-04-14T00:00:00Z,359V,78081.51
2023-06-18T00:00:00Z,LINA,132436.554
2023-03-05T00:00:00Z,N339,35719.777
2020-10-04T00:00:00Z,203I,200340.81
2019-07-21T00:00:00Z,359V,88709.59
2020-10-18T00:00:00Z,203I,209613.94
2023-05-14T00:00:00Z,L339,64114.145
2023-08-20T00:00:00Z,LINA,143773.102
2020-07-26T00:00:00Z,L339,8496.71000000001
2022-07-31T00:00:00Z,203I,233716.81
2022-05-29T00:00:00Z,LINA,153692.835
2019-11-10T00:00:00Z,203M,256857.79
2019-06-09T00:00:00Z,LINA,161869.867
2018-12-30T00:00:00Z,LMAV,29448.677
2019-05-19T00:00:00Z,LINA,160302.464
2019-07-28T00:00:00Z,LINA,162317.653
2023-03-19T00:00:00Z,L101,49130.591
2019-12-22T00:00:00Z,LINA,138451.454
2023-04-23T00:00:00Z,LMAV,39884.018
2019-09-01T00:00:00Z,LINA,162686.22
2019-12-29T00:00:00Z,LINA,133603.444
2020-09-27T00:00:00Z,LINA,105085.005
2019-03-10T00:00:00Z,LINA,168522.966
2019-10-06T00:00:00Z,L339,92716.6159999999
2023-04-23T00:00:00Z,L110,57151.987
2021-11-14T00:00:00Z,203I,203629.584
2023-04-16T00:00:00Z,L110,58665.59
2019-12-15T00:00:00Z,LINA,162748.666
2022-07-31T00:00:00Z,LINA,151953.992
2023-05-21T00:00:00Z,N339,31165.612
2022-05-08T00:00:00Z,L339,77206.332
2019-07-14T00:00:00Z,359V,82083.896
2023-05-28T00:00:00Z,L110,58153.98
2019-11-24T00:00:00Z,LINA,160283.604
2019-09-29T00:00:00Z,LINA,163777.004
2019-03-03T00:00:00Z,LINA,147073.684
2019-12-01T00:00:00Z,LINA,162411.812
2019-08-04T00:00:00Z,LINA,162620.074
2019-05-05T00:00:00Z,LINA,165919.825
2019-03-31T00:00:00Z,LINA,155454.583
2019-04-28T00:00:00Z,LINA,136423.985
2019-11-03T00:00:00Z,LINA,161791.26
2019-06-23T00:00:00Z,LEXP,119929.603
2019-12-15T00:00:00Z,LMAV,49956.521
2019-03-17T00:00:00Z,LINA,164304.924
2022-09-04T00:00:00Z,N339,27581.77
2019-10-13T00:00:00Z,203I,230154.876
2019-06-16T00:00:00Z,LINA,142032.291
2018-12-30T00:00:00Z,LINA,87702.1729999999
2019-11-10T00:00:00Z,LINA,162683.026
2022-11-20T00:00:00Z,N339,33715.43
2022-04-03T00:00:00Z,LINA,152737.257
2022-03-20T00:00:00Z,LINA,138566.761
2022-04-10T00:00:00Z,LINA,135263.872
2019-01-20T00:00:00Z,LINA,150172.098
2022-08-07T00:00:00Z,L339,75112.2350000001
2019-09-15T00:00:00Z,L339,98265.408
2022-07-10T00:00:00Z,L339,67151.688
2019-05-26T00:00:00Z,LINA,138311.66
2019-06-30T00:00:00Z,LINA,162099.091
2022-07-24T00:00:00Z,L339,74598.669
2023-05-28T00:00:00Z,203I,219241.74
2022-09-04T00:00:00Z,L339,77509.6880000001
2022-04-24T00:00:00Z,L339,65894.21
2022-10-02T00:00:00Z,LINA,139826.88
2022-05-01T00:00:00Z,L339,74472.327
2022-08-21T00:00:00Z,LINA,154664.416
2022-08-21T00:00:00Z,L339,77961.164
2022-05-15T00:00:00Z,L339,58531.197
2022-07-03T00:00:00Z,L339,75087.2630000001
2022-06-26T00:00:00Z,L339,76590.64
2022-03-13T00:00:00Z,L339,73767.296
2022-08-28T00:00:00Z,L339,68719.446
2020-12-13T00:00:00Z,203I,208553.95
2023-04-09T00:00:00Z,LINA,153329.669
2022-05-01T00:00:00Z,LINA,147872.516
2022-09-18T00:00:00Z,L339,74263.865
2023-07-23T00:00:00Z,LINA,139313.683
2022-03-06T00:00:00Z,L339,74592.6799999999
2021-12-12T00:00:00Z,L339,64578.284
2022-06-12T00:00:00Z,L339,71671.5470000001
2021-12-19T00:00:00Z,L339,57763.87
2023-04-30T00:00:00Z,L110,50669.479
2020-08-02T00:00:00Z,LI41,80858.7
2022-04-17T00:00:00Z,L339,77341.883
2022-03-27T00:00:00Z,L339,74241.481
2019-06-30T00:00:00Z,L339,101417.735
2019-03-03T00:00:00Z,L107,62435.818
2022-06-05T00:00:00Z,L339,80685.298
2019-04-21T00:00:00Z,LI41,80877.1100000001
2022-06-19T00:00:00Z,L339,67065.852
2022-07-03T00:00:00Z,LINA,145750.09
