Fecha,KM
2022-01-26,54504.214
2023-02-27,79877.625
2022-08-12,95429.518
2021-11-29,72981.152
2021-12-22,69731.89
2022-02-06,33170.617
2023-05-17,102748.879
2022-04-25,72801.144
2023-02-03,78602.715
2022-10-20,98188.844
2022-08-26,95037.126
2023-08-27,45521.304
2023-01-11,79088.0349999999
2023-07-16,48726.544
2021-12-31,41274.864
2022-03-27,33437.632
2022-05-16,91455.622
2022-09-02,55745.731
2022-10-14,96904.0039999999
2022-09-20,97137.2709999999
2021-12-15,72668.749
2023-09-01,99922.62
2021-12-18,47513.322
2022-05-28,59302.707
2022-12-08,41406.364
2023-01-21,56213.32
2022-02-08,54824.171
2023-01-07,56434.257
2023-09-24,43956.896
2022-02-04,53197.682
2021-10-30,48659.337
2022-02-05,46713.601
2022-12-29,76126.546
2022-10-19,97371.0219999999
2022-03-04,74417.373
2022-02-19,46817.925
2023-06-19,45837.694
2022-02-02,54103.437
2023-03-03,94096.457
2022-01-07,51671.155
2022-12-31,52930.427
2022-11-30,96319.4659999999
2022-03-31,74654.218
2023-08-18,99890.183
2022-02-11,52735.53
2021-12-04,47233.4410000001
2022-03-30,74297.2960000001
2022-07-15,82332.836
2022-08-22,93725.5509999999
2022-06-12,42935.806
2022-04-23,48401.298
2022-10-18,97660.849
2022-12-16,92047.918
2022-03-16,74037.702
2023-08-16,100309.425
2022-08-09,96248.3129999999
2022-11-10,97285.321
2022-09-14,97925.8229999999
2022-12-01,97386.082
2022-07-01,93895.1580000001
2022-03-29,75276.8679999999
2022-03-25,73376.761
2022-03-03,74388.3660000001
2022-10-21,96621.455
2022-07-14,82223.061
2022-11-23,97914.609
2022-10-06,97625.122
2022-02-09,54402.017
2022-10-11,96441.217
2022-12-23,91958.926
2022-03-08,73072.6010000001
2022-12-26,75483.402
2022-12-15,92792.099
2022-12-13,89720.6289999999
2022-01-04,56223.967
2022-07-22,81887.091
2022-01-12,49848.973
2023-08-23,100663.518
2022-01-08,41298.062
2022-02-23,51774.76
2022-05-25,42052.787
2022-12-24,51135.856
2023-02-12,41396.22
2022-02-17,53388.495
2022-06-17,43196.875
2023-08-31,100272.336
2022-08-21,41035.441
2022-04-24,33931.605
2022-04-06,74643.571
2022-06-25,59315.382
2022-02-14,54100.148
2021-11-27,46429.462
2021-12-05,33578.178
2021-12-16,73285.3600000001
2022-01-27,54937.081
2022-02-24,53279.023
2023-10-29,44060.42
2022-07-02,59772.367
2021-12-24,44022.379
2022-04-09,48305.086
2022-01-29,47482.883
2023-07-23,45117.943
2022-01-11,50103.326
2022-12-18,17554.422
2022-04-26,23536.646
2023-06-13,47.508
2022-10-12,49.673
2022-05-17,54.524
2022-10-13,18.976
