Fecha,Linea,LTS
2023-03-28,L143/136/137,3663.08
2023-03-26,L143/136/137,1450.09
2023-03-23,L142,5913.36
2023-03-22,L142,4899.47
2023-03-20,L146,2472.06
2023-03-19,L146,1536.54
2023-03-18,L146,1893.71
2023-03-17,L146,2633.64
2023-03-16,L146,2186.1
2023-03-15,L146,2655.93
2023-03-14,L146,2630.23
2023-03-13,L146,2605.2
2023-03-11,L146,1902.51
2023-03-10,L146,1542.33
2023-03-09,L146,3868.12
2023-03-08,L146,2729.32
2023-03-07,L146,2067.51
2023-03-06,L146,1395.79
2023-03-05,L146,2663.06
2023-03-04,L146,1911.36
2023-03-03,L140,2597.16
2023-02-28,L143/136/137,2795.43
2023-02-27,L143/136/137,2942.95
2023-02-25,L143/136/137,2225.82
2023-02-24,L143/136/137,2783.51
2023-02-23,L143/136/137,2627.16
2023-02-21,L143/136/137,1646.63
2023-02-20,L143/136/137,1527.03
2023-02-17,L143/136/137,2973.43
2023-02-16,L143/136/137,2742.89
2023-02-15,L143/136/137,2712.48
2023-02-14,L101,1493.66
2023-02-13,L101,1492.3
2023-02-10,L101,1298.16
2023-02-09,L102/144,1517.06
2023-02-08,L102/144,1614.26
2023-02-07,L102/144,1577.18
2023-02-06,L133/125,2651.4
2023-02-02,L133/125,2164.81
2023-01-31,L133/125,2410.41
2023-01-27,L107,2924.12
2023-01-26,L107,3683.38
2023-01-25,L102/144,1959.82
2023-01-24,L102/144,1760.69
2023-01-03,L102/144,1486.87
2022-12-29,L102/144,1558.31
2022-12-28,L102/144,1658.52
2022-12-26,L102/144,1396.44
2022-12-23,L102/144,1744.36
2022-12-22,L102/144,2284.38
2022-12-21,L102/144,2291.33
2022-12-19,L102/144,2111.83
2022-12-15,L102/144,2046.49
2022-11-26,L107,2697.32
2022-11-25,L107,4321.83
2022-11-24,L133/125,3098.89
2022-11-22,L133/125,2906.7
2022-11-18,L133/125,3189.81
2022-11-17,L133/125,3256.88
2022-11-16,L133/125,3077
2022-11-15,L133/125,2635.92
2022-11-14,L133/125,2814.82
2022-11-11,L133/125,2982.73
2022-11-10,L133/125,3007.13
2022-11-09,L133/125,3013.29
2022-11-08,L133/125,3158.9
2022-11-07,L133/125,3068.54
2022-11-04,L133/125,3044.22
2022-11-03,L133/125,2749.29
2022-11-02,L133/125,2804.15
2022-11-01,L133/125,2789.08
2022-10-31,L133/125,2671.87
2022-10-28,L133/125,2888.66
2022-10-27,L133/125,2816.58
2022-10-26,L133/125,2868.7
2022-10-25,L133/125,2736.56
2022-10-24,L133/125,2883.35
2022-10-23,L133/125,1300.47
2022-10-21,L133/125,2787.8
2022-10-20,L133/125,2740.59
2022-10-19,L133/125,2796.61
2022-10-18,L133/125,2833.41
2022-10-17,L133/125,2908.42
2022-10-14,L133/125,3005.74
2022-10-06,L133/125,2868.35
2022-10-04,L133/125,2973.67
2022-10-03,L133/125,2877.44
2022-09-30,L133/125,3125.66
2022-09-29,L133/125,3073.5
2022-09-28,L103,4003.81
2022-09-26,L133/125,2712.91
2022-09-23,L133/125,2918.94
2022-09-22,L133/125,2981.49
2022-09-21,L133/125,2948.72
2022-09-20,L133/125,3090.21
2022-09-19,L133/125,2789.16
2022-09-16,L133/125,2851.96
2022-09-15,L133/125,3068.5
2022-09-14,L133/125,2911.86
2022-09-13,L133/125,2746.2
2022-09-12,L133/125,3053.5
2022-09-01,L133/125,2750.82
2022-08-31,L133/125,2817.1
2022-08-30,L133/125,2651.71
2022-08-29,L133/125,3044.86
2022-08-26,L110,4706.27
2022-08-25,L133/125,2850.66
2022-08-24,L133/125,2880.6
2022-08-23,L133/125,2668.23
2022-08-17,L133/125,2704.35
2022-08-16,L133/125,2908.41
2022-08-12,L133/125,2955.2
2022-08-11,L133/125,2641.7
2022-08-10,L133/125,2664.97
2022-08-09,L133/125,2985.02
2022-08-08,L133/125,2785.91
2022-08-05,L133/125,2803.81
2022-08-04,L133/125,2824.31
2022-08-03,L133/125,2714.36
2022-08-02,L133/125,2808.56
2022-08-01,L133/125,2934.39
2022-07-29,L133/125,2783.49
2022-07-28,L133/125,2830.83
2022-07-27,L133/125,2846.55
2022-07-25,L133/125,2961.43
2022-07-22,L133/125,2398.99
2022-07-21,L133/125,2471.91
2022-07-20,L133/125,2520.75
2022-07-19,L133/125,2534.95
2022-07-18,L133/125,2547.05
2022-06-29,L133/125,2820.27
2022-06-28,L133/125,3003.51
2022-06-27,L133/125,2879.52
2022-06-24,L133/125,2918.12
2022-06-23,L133/125,2879.42
2022-06-22,L133/125,3029.04
2022-06-21,L133/125,2903.87
2022-06-18,L133/125,1579.32
2022-06-16,L133/125,2681.35
2022-06-15,L133/125,2956.7
2022-06-14,L133/125,2877.3
2022-06-13,L133/125,2915.98
2022-06-10,L133/125,2962.87
2022-06-09,L133/125,2900.23
2022-06-08,L133/125,2635.54
2022-06-07,L130/146,2990.41
2022-06-06,L130/146,2970.01
2022-06-03,L103,3975.36
2022-06-02,L103,3930.83
2022-06-01,L103,3911.95
2022-05-31,L103,3819.42
2022-05-30,L103,3907.26
2022-05-27,L103,4010.44
2022-05-26,L103,4380.37
2022-05-24,L103,3679.95
2022-05-23,L133/125,3040.58
2022-05-20,L133/125,2873.21
2022-05-19,L133/125,2677.6
2022-05-16,L133/125,2664.41
2022-05-15,L133/125,1113.04
2022-05-14,L133/125,1749.47
2022-05-13,L133/125,2846.69
2022-05-12,L133/125,2404.61
2022-05-10,L133/125,2750.57
2022-05-09,L143/136/137,3353.92
2022-05-06,L143/136/137,3453.17
2022-05-05,L143/136/137,3550.43
2022-05-04,L143/136/137,3248.68
2022-05-03,L143/136/137,3486.37
2022-05-02,L143/136/137,3197.02
2022-04-29,L145/133,4856.28
