FechaRecaudacion,des_lin,Cantidad_Pasajeros
2019-01-11T00:00:00Z,PILAR 203,57484
2019-01-11T00:00:00Z,CN33/9,3002
2019-01-11T00:00:00Z,EXPRESO,18539
2019-01-11T00:00:00Z,CP25 A,4849
2019-01-11T00:00:00Z,C AZUL,3273
2019-01-11T00:00:00Z,35/9,13467
2019-01-11T00:00:00Z,LINEA A,12656
2019-01-11T00:00:00Z,MORENO 203,75139
2019-01-11T00:00:00Z,CP33/9,7763
2019-01-11T00:00:00Z,FABRICA,17
2019-01-11T00:00:00Z,103,19952
2019-01-11T00:00:00Z,143,14859
2019-01-11T00:00:00Z,125,4925
2019-01-11T00:00:00Z,41,40470
2019-01-11T00:00:00Z,110,19708
2019-01-11T00:00:00Z,C NEGRA,4181
2019-01-11T00:00:00Z,128,10936
2019-01-11T00:00:00Z,145,11833
2019-01-11T00:00:00Z,146,13016
2019-01-11T00:00:00Z,142,21148
2019-01-11T00:00:00Z,144,5213
2019-01-11T00:00:00Z,102,10097
2019-01-11T00:00:00Z,101,6754
2019-01-11T00:00:00Z,130,6579
2019-01-11T00:00:00Z,129,5185
2019-01-11T00:00:00Z,C ROJA,65
2019-01-11T00:00:00Z,RINCÓN,15916
2019-01-11T00:00:00Z,35/9 V,19695
2019-01-11T00:00:00Z,VILLA CONS,737
2019-01-12T00:00:00Z,107,12819
2019-01-12T00:00:00Z,315,14362
2019-01-12T00:00:00Z,440,65378
2019-01-12T00:00:00Z,740,22653
2019-01-12T00:00:00Z,PILAR 203,42797
2019-01-12T00:00:00Z,CN33/9,2706
2019-01-12T00:00:00Z,EXPRESO,13535
2019-01-12T00:00:00Z,CP25 A,2630
2019-01-12T00:00:00Z,C AZUL,2009
2019-01-12T00:00:00Z,35/9,7536
2019-01-12T00:00:00Z,LINEA A,10447
2019-01-12T00:00:00Z,MORENO 203,58317
2019-01-12T00:00:00Z,CP33/9,5588
2019-01-12T00:00:00Z,103,11570
2019-01-12T00:00:00Z,143,8252
2019-01-12T00:00:00Z,125,2512
2019-01-12T00:00:00Z,41,22630
2019-01-12T00:00:00Z,110,11590
2019-01-12T00:00:00Z,C NEGRA,2406
2019-01-12T00:00:00Z,128,6220
2019-01-12T00:00:00Z,145,6523
2019-01-12T00:00:00Z,146,7618
2019-01-12T00:00:00Z,142,12665
2019-01-12T00:00:00Z,144,2058
2019-01-12T00:00:00Z,102,4470
2019-01-12T00:00:00Z,101,3111
2019-01-12T00:00:00Z,130,3218
2019-01-12T00:00:00Z,129,2884
2019-01-12T00:00:00Z,RINCÓN,12251
2019-01-12T00:00:00Z,35/9 V,9769
2019-01-12T00:00:00Z,VILLA CONS,175
2019-01-13T00:00:00Z,107,6811
2019-01-13T00:00:00Z,315,10510
2019-01-13T00:00:00Z,440,32978
2019-01-13T00:00:00Z,740,9893
2019-01-13T00:00:00Z,PILAR 203,26720
2019-01-13T00:00:00Z,CN33/9,2231
2019-01-13T00:00:00Z,EXPRESO,8864
2019-01-13T00:00:00Z,CP25 A,1528
2019-01-13T00:00:00Z,C AZUL,1088
2019-01-13T00:00:00Z,35/9,3514
2019-01-13T00:00:00Z,LINEA A,6233
2019-01-13T00:00:00Z,MORENO 203,37428
2019-01-13T00:00:00Z,CP33/9,2777
2019-01-13T00:00:00Z,103,5805
2019-01-13T00:00:00Z,143,4637
2019-01-13T00:00:00Z,125,770
2019-01-13T00:00:00Z,41,12621
2019-01-13T00:00:00Z,110,5807
2019-01-13T00:00:00Z,C NEGRA,1230
2019-01-13T00:00:00Z,128,2895
2019-01-13T00:00:00Z,145,2756
2019-01-13T00:00:00Z,146,4264
2019-01-13T00:00:00Z,142,6012
2019-01-13T00:00:00Z,144,910
2019-01-13T00:00:00Z,102,1773
2019-01-13T00:00:00Z,101,1312
2019-01-13T00:00:00Z,130,1195
2019-01-13T00:00:00Z,129,1390
2019-01-13T00:00:00Z,RINCÓN,7149
2019-01-13T00:00:00Z,35/9 V,4586
2019-01-13T00:00:00Z,VILLA CONS,32
2019-01-14T00:00:00Z,107,19039
2019-01-14T00:00:00Z,315,17357
2019-01-14T00:00:00Z,440,79195
2019-01-14T00:00:00Z,740,27917
2019-01-14T00:00:00Z,PILAR 203,54426
2019-01-14T00:00:00Z,CN33/9,2638
2019-01-14T00:00:00Z,EXPRESO,16581
2019-01-14T00:00:00Z,CP25 A,3912
2019-01-14T00:00:00Z,C AZUL,2996
2019-01-14T00:00:00Z,35/9,12742
2019-01-14T00:00:00Z,LINEA A,11093
2019-01-14T00:00:00Z,MORENO 203,67866
2019-01-14T00:00:00Z,CP33/9,6961
2019-01-14T00:00:00Z,FABRICA,36
2019-01-14T00:00:00Z,103,17423
2019-01-14T00:00:00Z,143,13399
2019-01-14T00:00:00Z,125,4174
2019-01-14T00:00:00Z,41,37833
2019-01-14T00:00:00Z,110,17323
2019-01-14T00:00:00Z,C NEGRA,3652
2019-01-14T00:00:00Z,128,9769
2019-01-14T00:00:00Z,145,10965
2019-01-14T00:00:00Z,146,11838
2019-01-14T00:00:00Z,142,19194
2019-01-14T00:00:00Z,144,4526
2019-01-14T00:00:00Z,102,9313
2019-01-14T00:00:00Z,101,6279
2019-01-14T00:00:00Z,130,6148
2019-01-14T00:00:00Z,129,4743
2019-01-14T00:00:00Z,C ROJA,64
2019-01-14T00:00:00Z,RINCÓN,14840
2019-01-14T00:00:00Z,35/9 V,17871
2019-01-14T00:00:00Z,VILLA CONS,596
2019-01-15T00:00:00Z,107,18576
2019-01-15T00:00:00Z,315,14569
2019-01-15T00:00:00Z,440,67945
2019-01-15T00:00:00Z,740,25629
2019-01-15T00:00:00Z,PILAR 203,46615
2019-01-15T00:00:00Z,CN33/9,2049
2019-01-15T00:00:00Z,EXPRESO,15463
2019-01-15T00:00:00Z,CP25 A,3970
2019-01-15T00:00:00Z,C AZUL,2663
2019-01-15T00:00:00Z,35/9,12067
2019-01-15T00:00:00Z,LINEA A,9434
2019-01-15T00:00:00Z,MORENO 203,60270
2019-01-15T00:00:00Z,CP33/9,6084
2019-01-15T00:00:00Z,FABRICA,46
2019-01-15T00:00:00Z,103,17354
2019-01-15T00:00:00Z,143,13104
2019-01-15T00:00:00Z,125,4215
2019-01-15T00:00:00Z,41,34312
2019-01-15T00:00:00Z,110,16906
2019-01-15T00:00:00Z,C NEGRA,3242
2019-01-15T00:00:00Z,128,9679
2019-01-15T00:00:00Z,145,10668
2019-01-15T00:00:00Z,146,11080
2019-01-15T00:00:00Z,142,18188
2019-01-15T00:00:00Z,144,4580
2019-01-15T00:00:00Z,102,8906
2019-01-15T00:00:00Z,101,5728
2019-01-15T00:00:00Z,130,6055
2019-01-15T00:00:00Z,129,4670
2019-01-15T00:00:00Z,C ROJA,45
2019-01-15T00:00:00Z,RINCÓN,12260
2019-01-15T00:00:00Z,35/9 V,16941
2019-01-15T00:00:00Z,VILLA CONS,471
2019-01-16T00:00:00Z,107,19668
2019-01-16T00:00:00Z,315,17884
2019-01-16T00:00:00Z,440,83655
2019-01-16T00:00:00Z,740,28031
2019-01-16T00:00:00Z,PILAR 203,56826
2019-01-16T00:00:00Z,CN33/9,2481
2019-01-16T00:00:00Z,EXPRESO,17570
2019-01-16T00:00:00Z,CP25 A,4609
2019-01-16T00:00:00Z,C AZUL,3200
2019-01-16T00:00:00Z,35/9,13481
2019-01-16T00:00:00Z,LINEA A,11738
2019-01-16T00:00:00Z,MORENO 203,70404
2019-01-16T00:00:00Z,CP33/9,7292
2019-01-16T00:00:00Z,FABRICA,52
2019-01-16T00:00:00Z,103,18582
2019-01-16T00:00:00Z,143,14125
2019-01-16T00:00:00Z,125,4380
2019-01-16T00:00:00Z,41,39714
2019-01-16T00:00:00Z,110,18585
2019-01-16T00:00:00Z,C NEGRA,4029
2019-01-16T00:00:00Z,128,10688
2019-01-16T00:00:00Z,145,11322
2019-01-16T00:00:00Z,146,12329
2019-01-16T00:00:00Z,142,20245
2019-01-16T00:00:00Z,144,4913
2019-01-16T00:00:00Z,102,9563
2019-01-16T00:00:00Z,101,6324
2019-01-16T00:00:00Z,130,6423
2019-01-16T00:00:00Z,129,4934
2019-01-16T00:00:00Z,C ROJA,59
2019-01-16T00:00:00Z,RINCÓN,16348
2019-01-16T00:00:00Z,35/9 V,19368
2019-01-16T00:00:00Z,VILLA CONS,679
2019-01-17T00:00:00Z,107,19226
2019-01-17T00:00:00Z,315,17700
2019-01-17T00:00:00Z,440,75236
