Semana,Linea,LTS,KM,Consumo
2020-10-18,L128,7172.18,18419.855,38.9372229043063
2020-10-11,L130,3232.76,8418.269,38.4017189282025
2020-10-04,L130,3312.8,7902.887,41.9188582602788
2020-09-27,L130,3388.04,7379.787,45.9097261208217
2020-09-27,L125,2904.77,8562.252,33.9253037635426
2020-08-23,L125,2593.74,6647.546,39.0180075474468
2020-08-16,L125,3561.82,10775.304,33.0554014995772
2020-08-16,L144,2695.87,7215.332,37.363076293648
2020-08-09,L144,3203.9,8175.541,39.188843894245
2020-08-02,L144,3237.84,8430.136,38.4079212956944
2020-07-26,L144,1056.83,2937.847,35.9729420899046
2020-06-21,L144,2598.24,6810.309,38.1515728581478
2020-06-14,L143,11535.54,31831.042,36.2399069436684
2020-04-26,L143,12607.98,37255.152,33.8422454966765
2020-03-15,L144,5755.64,14857.262,38.7395739538012
2019-09-01,L144,8165.02,18219.905,44.813735307621
2019-08-25,L144,7741.02,16584.017,46.6775932513817
2019-08-18,L144,7346.72,17595.002,41.7545846257932
2019-08-11,L144,7284.02,17252.418,42.2202847160323
2019-08-04,L144,7592.45,17134.919,44.3098096932936
2019-07-28,L144,7746.08,17366.072,44.6046751389721
2019-07-21,L144,7740.90999999999,16813.536,46.0397503535247
2019-07-21,L130,9269.41,18988.762,48.8152413517005
2019-07-14,L144,5995.57,12828.65,46.7357827986577
2019-07-07,L144,4469.91,10404.909,42.9596260764991
2019-06-30,L144,8454.26,17467.378,48.4002807977248
2019-06-23,L144,7401.65,17686.301,41.8496213538377
2019-06-16,L144,6244.62,14105.871,44.2696519768258
2019-06-09,L144,7542.16,19513.895,38.6502028426411
2019-06-02,L144,8563.18,17044.797,50.2392606963873
2019-05-26,L144,6605.59,14596.123,45.2557847039245
2019-05-19,L144,8127.81,15106.483,53.8034564365511
2019-05-12,L144,8478.05,17971.16,47.1758639954238
2019-05-05,L144,7749.86,17963.684,43.1418187939623
2019-04-28,L144,6685.37,15090.375,44.3022125030027
2019-04-21,L144,7855.76,18007.773,43.6242726960185
2019-04-14,L144,6545.4,13775.667,47.5142147382047
2019-04-14,L130,8103.04,16962.818,47.769421330819
2019-04-07,L130,8824.76,21160.312,41.7043000122115
2019-04-07,L144,7935.16,17757.583,44.6860363823162
2019-03-31,L144,6613.32,16210.129,40.7974544804671
2019-03-24,L144,8745.58,19201.231,45.5469756079701
2019-03-17,L144,8069.19,19397.679,41.5987397255105
2019-03-10,L144,7225.62,16271.648,44.4061965942233
2019-03-03,L144,5654.78,12447.719,45.4282427165973
2019-02-24,L144,6556.92,16808.073,39.0105397566991
2019-02-17,L144,5901.13,13488.264,43.7501075008615
2019-02-10,L144,5487.56,13857.936,39.5986819393595
2019-02-10,L125,6873.02,18132.468,37.9044926482153
2019-02-03,L125,6868.05,19803.515,34.6809644651467
2019-01-20,L144,5028.25,10155.26,49.5137495248768
2019-01-20,L125,7592.49,17771.464,42.7229292983403
2023-06-25,L142,35156.43,75819.881,46.3683529126088
2023-06-25,L130,7294.86,16124.593,45.240583746827
2023-06-04,L130,7271.67,15502.694,46.9058474610929
2023-05-28,L130,7229.81,15818.87,45.7037070283781
2023-05-21,L130,5833.92,13044.813,44.7221435830472
2023-05-14,L130,6999.33,15892.596,44.0414517552702
2023-05-07,L130,7062.96,14989.433,47.1195941834491
2023-04-30,L130,6158.96,13502.013,45.6151242040724
2023-04-23,L130,7007.31,15219.234,46.0424617953834
2023-04-09,L130,7093.99,14633.896,48.4764276034216
2023-04-02,L130,5977.29,12661.489,47.2084286453197
2023-03-26,L130,7635.08,16518.722,46.2207669576375
2023-03-26,L140,12290.08,26819.151,45.8257608527578
2023-03-19,L130,6817.81,15091.482,45.1765439603612
